title,price,description,rating,image
REI Co-op Camp X Chair,$49.95,This travel-friendly chair raises the bar for comfort with exclusive X-Web technology that evenly distributes your weight to make your campfire or backyard lounge sessions so much more enjoyable.,4.3,https://www.rei.com/media/306892f9-e30e-4492-bbf9-e7748fbf65f1?size=784x588
GCI Outdoor Kickback Rocker Chair,$65.00,"Supplying copious comfort for its midsize stature, the light and compact GCI Outdoor Kickback Rocker chair sits slightly lower than standard chairs, but higher than low-to-the-ground designs.",4.6,https://www.rei.com/media/42ee18df-a88c-4100-a4b6-7d65d0744ad5?size=784x588
Mountain Summit Gear Cooler Chair,$36.93,"The ultimate tailgater's base camp, the Mountain Summit Gear Cooler chair comes with a detachable, insulated cooler and a folding table, making it perfect for the big game, backyard or campsite.",4.4,https://www.rei.com/media/121c1fc7-3efe-45af-b29c-4ecf6a73dec6?size=784x588
REI Co-op Flexlite Air Chair,$99.95,"The REI Co-op Flexlite Air is one chair even ounce-counting backpackers can love—for just one extra pound, you get the luxury of sitting high and dry, out of the reach of poking pine needles.",4.1,https://www.rei.com/media/6ab9893b-3da2-42a9-92e2-060250f5340d?size=784x588
REI Co-op Flexlite Camp Chair,$69.95,"For both its size and hardiness, the REI Co-op Flexlite camp chair has become a co-op favorite. Its ripstop seat and tentlike frame surpass our durability tests—and fans' bring-it-anywhere tests, too.",4.1,https://www.rei.com/media/85a3df6c-ba55-4dc8-87ea-aabcc8ac4e02?size=784x588
REI Co-op Camp Low Chair,$49.95,"Making a comeback because of co-op love, the REI Co-op Camp Low chair is beloved for its low-profile, durable powder-coated steel frame, comfy, water-repellent padded seat and overall carry-ability.",4.3,https://www.rei.com/media/1ef27b5f-5324-46db-8be3-7adf244f60bd?size=784x588
REI Co-op Camp Xtra Chair,$69.95,"Sturdy, comfortable and stocked with 2 drink holders and a side stash pocket, this chair features X-Web technology to evenly distribute your weight and make the most of your lounge time.",4.5,https://www.rei.com/media/34209956-4bfd-4402-8ad0-2da7ce9cf5be?size=784x588
REI Co-op Trail Stool,$24.95,"Get off the ground and up onto the comfortable, travel-friendly Trail Stool. It's light enough to take on short hikes and sturdy enough for regular use at the campground.",4.3,https://www.rei.com/media/25a795b2-af55-427a-b1dc-5e703ec4dd8b?size=784x588
REI Co-op Outward Padded Bench,$49.93,We made this easy-to-tote 2-person bench with a padded seat to ensure everybody has a comfy spot at your campfire. The REI Co-op Outward Padded Bench packs down small and opens up in a flash.,4.9,https://www.rei.com/media/fbe44ec7-0ecc-44a9-9934-6e3b3448229b?size=784x588
REI Co-op Camp Prep Table,$149.00,Never enough prep space? Carry along the REI Co-op Camp Prep Table to extend your tailgate or picnic table. The independently adjustable legs handle a wide range of heights and uneven terrain.,4.3,https://www.rei.com/media/78984a3f-828d-4e5c-80bc-f99bf018fd88?size=784x588
REI Co-op Flexlite Camp Dreamer Chair,$99.95,"You asked for it: a headrest on our durable, compact co-op favorite Flexlite chair. The REI Co-op Flexlite Camp Dreamer has it, plus sizable pockets to truly make this a dream of a chair.",4.1,https://www.rei.com/media/eb7f93b1-5201-4a1d-8dc0-928e779f2171?size=784x588
Mountain Summit Gear Horizon Cot,$99.95,"Spend less time setting up camp and more time lounging under the stars with this Mountain Summit Gear Horizon cot. Setup is as easy as 1, 2, 3.",4.4,https://www.rei.com/media/a2d749b0-5e79-4696-9f8e-ba90b951f0d2?size=784x588
