title,price,description,rating,image
SOL Flat Pack Collapsible Sink - 16 Liters,$22.00,"Campsite cleanup is no longer a hassle with the 16-liter SOL Flat Pack collapsible sink. Its large capacity makes it easy to use as a basket for hauling supplies, too.",4.8,https://www.rei.com/media/06a421ad-3f79-448e-aea4-aff460e40ec3?size=784x588
MSR Alpine Dish Brush/Scraper,$5.95,The MSR Alpine Dish brush/scraper helps you get your pots and pans sparkling clean.,4.8,https://www.rei.com/media/cae3b19f-313f-41d1-8067-5b0b8d095006?size=784x588
SOL Flat Pack Collapsible Sink - 8 Liters,$16.00,Campsite cleanup is no longer a hassle with the 8-liter SOL Flat Pack Collapsible Sink. This large-capacity yet easily collapsible sink has a tight-close drain in the base to empty dirty water.,4.4,https://www.rei.com/media/d768c462-3b71-4847-9315-e64ae89565bd?size=784x588
Coghlan's 12-Egg Holder,$5.75,Carry a dozen eggs with the Coghlan's 12-Egg holder and whip up a breakfast feast the next time you're car camping or backpacking.,4.0,https://www.rei.com/media/f81950f1-ac90-4ed5-bfd9-f61356190a9f?size=784x588
Mountain Summit Gear Deluxe Roll Top Kitchen,$149.95,Store all of your camp kitchen goodies with the spacious Mountain Summit Gear Deluxe Roll Top kitchen. It has 2 side tables and a detachable compartment with two shelves to keep your gear organized.,4.6,https://www.rei.com/media/058e7a8a-a85e-4632-8027-84d479d78b88?size=784x588
GSI Outdoors Rakau Knife Set,$79.95,"Bring your kitchen to the wild with this Rakau knife set from GSI Outdoors. A cutting board, dish towel, sharpener and 3 knives help you prepare chef-quality meals wherever you explore.",4.9,https://www.rei.com/media/35e3ee34-6cff-4a32-a59c-43af1e5d9625?size=784x588
Eureka SPRK+ Butane Camp Stove,$59.95,"Small, portable and powerful, the Eureka SPRK+ butane camp stove boasts a powerful 11,500 BTU burner, as well as a simmer control for fine-tuned heat—all in a compact package.",4.6,https://www.rei.com/media/15f017c9-7110-42da-821c-9be511c7086d?size=784x588
GSI Outdoors Halulite Microdualist II Cookset,$48.93,"Say goodbye to scratches, burn circles and grams. The superlight GSI Outdoors Halulite Microdualist II cookset uses a proprietary alloy to conduct heat evenly and efficiently, saving on fuel.",4.7,https://www.rei.com/media/f803e84c-0185-4c38-924f-4014cf21a194?size=784x588
Sea to Summit Kitchen Sink - 20 Liters,$29.95,"When you need to wash a lot at once or collect a ton of water, the 20-liter Sea to Summit Kitchen Sink fits the bill. It's a portable, collapsible camp sink that stands on its own when filled.",4.4,https://www.rei.com/media/3287c2cc-125d-4375-aafc-2fce2a83192d?size=784x588
REI Co-op Campwell Picnic Table Cover,$49.95,"Keep camp clean with the REI Co-op Campwell Picnic Table cover. It attaches to most campground and park picnic tables—and has an organizer for your your dishes, cutlery and napkins.",4.0,https://www.rei.com/media/d30e8310-9ae8-44e2-bae9-a7bd46efcfc1?size=784x588
Lodge Cast Iron Cook-It-All,$124.95,"A versatile piece for grilling, griddling, sauteing and baking, the Lodge Cast Iron Cook-It-All features 5 cooking configurations that open up a world of possibilities for your campsite cuisine.",4.7,https://www.rei.com/media/85605884-7603-4f70-a68c-8d9cb909b127?size=784x588
OXO Outdoor Heavy-Duty Brush with Cover,$11.95,"Tough enough to tackle cast iron and carbon steel but gentle enough to preserve a pan's seasoning, the OXO Outdoor Heavy-Duty brush with cover is a handy tool for cleaning flat and ridged cookware.",4.6,https://www.rei.com/media/1a2ba7f4-19df-44bc-9a6d-7fac1c079a8c?size=784x588
Coghlan's 6-Egg Holder,$4.50,Carry along some eggs with the Coghlan's 6-Egg holder and whip up a breakfast feast the next time you're car camping or backpacking.,3.9,https://www.rei.com/media/d517bf0e-8e97-4cc4-a4b1-7b1dc8ae05d4?size=784x588
Rolla Roaster Marshmallow and Hot Dog Roasting Forks - Pair,$17.00,Rolla Roasters are extendable forks that let you roast marshmallows and hot dogs with ease.,4.7,https://www.rei.com/media/2f6bea80-6475-4279-8639-ca60df80a518?size=784x588
OXO Outdoor Santoku Knife with Locking Sheath,$19.95,"A good chef's knife is a must-have in any kitchen—even an outdoor one. The OXO Outdoor santoku knife with locking sheath makes quick work of slicing, dicing, mincing and scooping.",4.7,https://www.rei.com/media/cadf451f-b703-496b-a1ac-9cf58dc1b5d0?size=784x588
Soto Amicus Stove Cookset Combo,$44.95,"Whether you're heading out on a backpacking trip or picnicking after a day hike, the Soto Amicus Stove Cookset Combo provides everything you need to cook a meal in a lightweight package.",4.5,https://www.rei.com/media/4d25d407-d999-4619-a9fb-b8625dbe70d2?size=784x588
GSI Outdoors Pinnacle Camper Cookset,$159.95,"The GSI Pinnacle Camper cookset sets you up with the gear you need to accommodate 4 hungry hikers. It's loaded with plates, bowls, mugs, pots and a frypan.",4.5,https://www.rei.com/media/7794ef73-2bf1-4cf3-9f3e-44dd55393cc2?size=784x588
The Cocktail Box Co. Cocktail Box,$22.00,"Ideal for travel or enjoyment around the campfire, these portable handcrafted cocktail kits from The Cocktail Box Co. contain the premium ingredients you need to mix 3 servings of a classic drink.",3.5,https://www.rei.com/media/bdbf9891-e05e-4661-a114-90b1e19e7baf?size=784x588
The Cocktail Box Co. Cocktail Box,$22.00,"Ideal for travel or enjoyment around the campfire, these portable handcrafted cocktail kits from The Cocktail Box Co. contain the premium ingredients you need to mix 3 servings of a classic drink.",3.5,https://www.rei.com/media/bdbf9891-e05e-4661-a114-90b1e19e7baf?size=784x588
Stanley Even-Heat Camp Pro Cookset,$150.00,"With everything you need to cook a satisfying meal outdoors, the 11-piece stainless-steel Stanley Even-Heat Camp Pro cookset nests together to save you space.",4.9,https://www.rei.com/media/d3c1905a-67f2-42b3-9090-0ba7482121f2?size=784x588
Eureka Ignite 2-Burner Camp Stove,$114.95,The portable Eureka Ignite 2-burner camp stove helps you create perfectly cooked meals in the outdoors. Its 2-turn simmer control gives precise flame adjustment and enhances the cooking performance.,4.5,https://www.rei.com/media/fa3b04fe-68a3-4c5a-a53f-d73da5b50f2c?size=784x588
MSR Alpine Chef's Knife,$17.95,The MSR Alpine™ Chef's knife features a 6.5-in. modified Santoku design that excels at big chopping and slicing tasks so you can prepare a feast for your group of hungry campers.,4.6,https://www.rei.com/media/b9293de9-9e8e-48f5-96b9-322846b66e9b?size=784x588
Eureka SPRK Camp Stove,$44.95,"Small, portable and powerful, the Eureka SPRK camp stove features a powerful 10,000 BTU burner as well as precise simmer control for fine-tuned cooking—all in a compact package.",4.4,https://www.rei.com/media/aedd0cdf-2d59-4fce-bf40-56cfc32fe5a0?size=784x588
Ignik Gas Growler Deluxe,$149.95,"Millions of single-use propane bottles end up in landfills each year. The Ignik Gas Growler Deluxe is a refillable, low-waste solution for heating and cooking in the outdoors.",4.3,https://www.rei.com/media/44a7c652-6a1f-4aa0-a4e8-764d971d5aab?size=784x588
MSR PocketRocket 2 Stove,$49.95,"The next-generation MSR PocketRocket 2 backpacking stove takes everything good about the celebrated original and makes it even better. It's lighter weight and smaller, and fits a wider range of pots.",4.6,https://www.rei.com/media/7746a739-615e-44e9-a99c-3eaebd8b3116?size=784x588
humangear GoBites Uno Spork,$3.50,"A combination fork and spoon that's ready for your backcountry dinner table, the humangear GoBites Uno spork is designed to be durable and beautifully utilitarian.",4.8,https://www.rei.com/media/9f5efea3-34ef-48d6-8875-b2ddb4db62de?size=784x588
Coleman Cascade Classic Camp Stove,$100.00,"Perfect for those times when trail mix just won't cut it, the Coleman Cascade Classic camp stove makes it easy to cook great meals outdoors. And its compact design makes it easy to bring along.",4.8,https://www.rei.com/media/e98e7d68-5791-42e8-8aba-ad100ec9639b?size=784x588
Jetboil Flash Cooking System,$114.95,"Enjoy cocoa, coffee or a gourmet freeze-dried meal in a jiffy with the new Jetboil Flash cooking system, which boils water in 100 seconds, allowing you to conserve fuel and dig in faster.",4.5,https://www.rei.com/media/48d4e961-c17a-43cc-acea-625903bdaa24?size=784x588
Rumpl Original Puffy Blanket - Artist Series,$95.93,"A packable, portable blanket that goes everywhere you do, the artist series Rumpl Original Puffy blanket keeps you warm on windy camping trips, trips to the dog park, and cozy, sleepy Sundays at home.",4.7,https://www.rei.com/media/464093dc-0e9a-4047-9bad-e15d7709c3be?size=784x588
YETI Rambler Tumbler with MagSlider Lid - 20 fl. oz.,$35.00,"Now with a splashproof and spill-resistant YETI MagSlider™ lid that's easy to clean, the 20 fl. oz. YETI Rambler Tumbler keeps your beverage hot or cold for your sipping pleasure.",4.7,https://www.rei.com/media/43ccd21e-2e35-4022-9dd3-dbf12382678b?size=784x588
YETI Hopper M20 Backpack Cooler,$325.00,"Made for bringing the party anywhere you'd like, the YETI Hopper M20 is a backpack cooler that can carry up to 18 cans of your favorite beverage—or 26 pounds of ice—while keeping your hands free.",4.4,https://www.rei.com/media/b1e7fc4e-3b57-49b7-99f0-315d92e57ed4?size=784x588
YETI Hopper M30 Soft Cooler,$350.00,"Built tough to keep your snacks and drinks secure through choppy water or rough terrain, this YETI Hopper M30 Soft Cooler is a go-to for packing trip provisions or stashing the weekend's catch.",4.6,https://www.rei.com/media/9136c06a-9457-41f8-86e8-d0c1a4c707fd?size=784x588
Camp Chef Everest 2X High-Pressure Stove,$190.00,Don't be fooled by its compact size. The 2-burner Camp Chef Everest 2X high-pressure stove packs a lot of power under the hood to take your camp kitchen to the next level of outdoor cooking.,4.6,https://www.rei.com/media/0e0faae4-34e3-471f-ace8-b70bcd886e36?size=784x588
Dometic CFX3 95 Dual Zone Powered Cooler,"$1,550.00","Featuring a durable ExoFrame construction that protects its edges and a generous capacity, the Dometic CFX3 95 Dual Zone powered cooler was made for rugged outdoor adventures.",4.1,https://www.rei.com/media/dfe3f5fa-570f-4419-97fe-4e18d8c14807?size=784x588
Jetboil MiniMo Cooking System,$154.95,"Winner of Backpacker magazine's 2015 Editors' Choice Award, the MiniMo provides excellent simmer control and usability for making gourmet meals on your backpacking trips.",4.4,https://www.rei.com/media/2dbc75a6-e2b3-4218-90bd-89b5fbe93af6?size=784x588
Dometic CFX3 55IM Powered Cooler + Icemaker,"$1,200.00","Producing impressive cooling and freezing, the Dometic CFX3 55IM powered cooler + icemaker allows you to bring more of the food and drinks you love wherever you go.",4.3,https://www.rei.com/media/d1a75cca-3161-414a-8941-423b76327461?size=784x588
Backpacker's Pantry Pad Thai with Chicken - 2 Servings,$12.95,"Finish off a day on the trail with sweet, savory Pad Thai with Chicken from Backpacker's Pantry. This updated version is soy-free, but has the same delicious noodles, veggies and a spicy-sweet sauce.",4.5,https://www.rei.com/media/7ea44d94-3c64-4840-925b-38bf83fd8b14?size=784x588
