title,price,description,rating,image
SOL Pocket Chain Saw,$21.95,Make quick work of overgrown trails and downed trees with the SOL Pocket chain saw. Its sharp cutting teeth and strong carbon steel construction make trail cleanup a breeze.,5.0,https://www.rei.com/media/aabb372a-7ae1-4b48-ba07-ee7eb26e3cef?size=784x588
TheTentLab The Deuce #2 UL Backcountry Trowel,$19.95,"The Deuce #2 UL trowel from TheTentLab is a revolutionary ultralight backcountry latrine trowel that can be used with the handle up or, for 4 times the digging power, handle down.",4.5,https://www.rei.com/media/44df3978-c43f-4cc9-8b08-0dfa5cfcc39d?size=784x588
MSR Stake Hammer,$39.95,"Far better at driving stakes into the rocky ground than any rock at hand, the MSR Stake Hammer offers a hardened stainless-steel head with a perfectly balanced swing weight.",4.8,https://www.rei.com/media/c732409d-cfbc-4195-b9e1-3906d587865e?size=784x588
Work Sharp EDC Pivot Knife Sharpener,$5.95,"Sharpen knives fast and easily with the Work Sharp EDC Pivot knife sharpener. Its compact size easily stows in your pack, pocket or tackle box so you always have a sharp edge when you need it.",4.7,https://www.rei.com/media/6b742b1f-04a4-49dc-8bbd-5d789eb52e5a?size=784x588
Gerber Bushcraft Hatchet,$64.95,"Built with the belief that thriving in the woods is not a matter of fortune, but a matter of preparedness, the Gerber Bushcraft Hatchet ensures you won't be empty handed in the face of a challenge.",5.0,https://www.rei.com/media/007b1c47-5802-433e-99cb-f5a4ee7fd23c?size=784x588
Celestron Nature 10 x 25 Monocular,$49.95,"The Celestron Nature 10x25 monocular is ideal for viewing wildlife on trips where pack weight is important. Tipping the scales at a mere 6 oz., it's ideal for fast-and-light backpackers and travelers.",4.4,https://www.rei.com/media/0eb69b61-aed8-48de-b005-097ad450ac81?size=784x588
TheTentLab The Deuce #3 Heavy Duty Backcountry Trowel,$24.95,"Weighing less than 2 tablespoons of water, The Deuce #3 Heavy Duty Backcountry trowel by TheTentLab is light but tough. Aerospace-grade aluminum lets you dig and pry with ease, even on rocky ground.",4.2,https://www.rei.com/media/191b97a0-8021-487a-a605-7688f5eea16b?size=784x588
Leatherman Signal Topo Multi-Tool,$129.95,Push into the backcountry with confidence with the Leatherman Signal Topo multi-tool clipped to your belt. A bevy of tools and a unique topo-map blade make this multi-tool stand out from the rest.,4.7,https://www.rei.com/media/9b473703-9bf8-4808-b2b9-467de06277a4?size=784x588
outdoor element Firebiner,$14.95,"This handy tool starts fires, cuts wires and opens bottles. The outdoor element Firebiner looks like a low-key carabiner, but it provides outdoor enthusiasts a lot more bang for their buck.",4.5,https://www.rei.com/media/fe5dd218-f013-47a1-9dac-dcfa9cf98a8a?size=784x588
Gerber Ultimate Survival Fixed Blade Knife,$49.95,Love going off the grid? The Gerber Ultimate Survival fixed blade knife helps you thrive in the toughest environments. It boasts a dependable blade and innovative survival tools for any adventure.,4.7,https://www.rei.com/media/f7bea5e3-596f-4546-83bf-46e597950467?size=784x588
