title,price,description,rating,image
Kelty Catena 30 Sleeping Bag,$59.95,"Practical, affordable and just right for any casual or first-time camper, the Kelty Catena 30 sleeping bag meets all your basic camping needs with the warmth of cozy CloudLoft insulation.",4.5,https://www.rei.com/media/1de55285-793e-445b-9a55-9a77d72e10f8?size=784x588
REI Co-op Siesta Hooded 25 Sleeping Bag,$129.00,"Stretch, turn and just sprawl out in the REI Co-op Siesta Hooded 25 sleeping bag. It has plenty of room and synthetic fill with offset quilting to keep you extra cozy on cool nights.",4.3,https://www.rei.com/media/5aaad892-e215-4351-8075-7cc4740ce739?size=784x588
REI Co-op Trailbreak 20 Sleeping Bag - Men's,$109.00,"The men's REI Co-op Trailbreak 20 sleeping bag gives the right balance of warmth, packability and weight for those breaking into backpacking and everything that comes with it.",4.4,https://www.rei.com/media/fa6ce25a-a8d1-480d-afcc-2f66a16237c4?size=784x588
REI Co-op HunkerDown 20 Sleeping Bag,$199.00,"Hit the down after a long day of fun in our most luxurious camp bag, the warm, roomy REI Co-op HunkerDown 20 sleeping bag. Its extra-large hood will even accommodate your favorite pillow from home.",4.7,https://www.rei.com/media/f3f1356a-658a-4971-8cc4-4b4148939973?size=784x588
NEMO Forte 35 Sleeping Bag - Women's,$169.95,"Classic mummy-bag design isn't ideal for the 70% of people who sleep on their side. The women's NEMO Forte 35 sleeping bag adds room at the elbows and knees for 3-season, side-sleeping comfort.",4.7,https://www.rei.com/media/1da0889c-dd2c-485e-9907-73bcc443ed13?size=784x588
NEMO Forte 35 Sleeping Bag - Men's,$169.95,"Classic mummy-bag design isn't ideal for the 70% of people who sleep on their side. The men's NEMO Forte 35 sleeping bag adds room at the elbows and knees for 3-season, side-sleeping comfort.",4.7,https://www.rei.com/media/8c7d78ec-99c0-4c99-8be8-49c55cfdc3cf?size=784x588
Coleman Kompact 20 Rectangle Sleeping Bag,$99.95,"With plenty of room to get comfortable and the option to unzip it into a blanket, the Coleman Kompact 20°F Rectangle sleeping bag keeps you warm through the night and compresses to a manageable size.",4.7,https://www.rei.com/media/dc532246-80d8-4438-b23e-995de4e0340d?size=784x588
REI Co-op Magma Trail Quilt 30,$329.00,"A versatile sleeping bag alternative, the REI Co-op Magma Trail Quilt 30 dispenses with zipper, hood and bottom insulation to lighten your pack and still give you a comfortable night's sleep.",4.4,https://www.rei.com/media/879281f9-b762-43e7-bb33-ebf252e45c6b?size=784x588
REI Co-op Down Time 25 Down Sleeping Bag - Kids',$149.00,"Engineered to balance room to move with insulation efficiency, the kids' REI Co-op Down Time 25 sleeping bag keeps sleepers under 5'6"" cozy on cool-weather trips.",4.9,https://www.rei.com/media/0aa3d44c-ec80-4c01-860a-0284593256cc?size=784x588
REI Co-op Trailbreak 30 Sleeping Bag - Men's,$99.95,"For those breaking into backpacking and everything that comes with it, the men's REI Co-op Trailbreak 30 sleeping bag gives the right balance of warmth, packability and weight.",4.0,https://www.rei.com/media/cc6cd38d-23f6-464d-9107-fc3c9b7dbd2b?size=784x588
REI Co-op Helio Sack 50 Sleeping Bag,$79.95,"With just enough insulation for warm weather, the REI Co-op Helio Sack 50 sleeping bag is great for travel, backpacking and bike touring. Or, slip it inside another bag on cold nights.",3.8,https://www.rei.com/media/7d8c862b-a0da-4a94-99bb-7b79c4c1ce2a?size=784x588
Kelty Cosmic 20 Sleeping Bag - Men's,$159.95,"A 3-season superstar for nights when temps dip to subfreezing, the men's Kelty Cosmic 20 sleeping bag's thermally efficient trapezoidal baffle construction and 550-fill-power down keep you warm.",4.6,https://www.rei.com/media/d273cf87-2eca-493f-80dd-7b764471eabf?size=784x588
Sea to Summit Spark Ultralight Sleeping Bag Liner,$269.00,"Built for fast-and-light adventures, this Sea to Summit Spark Ultralight sleeping bag liner is a great pick for summer overnights or boosting your sleeping bag's warmth on chillier trips.",4.6,https://www.rei.com/media/9f9cbbdd-65e7-496d-a529-08fcef5c41d3?size=784x588
Coleman Brazos 30 Sleeping Bag,$46.95,"An excellent choice for staying protected on those cool-weather camping trips or in emergency situations, the Coleman Brazos 30 sleeping bag handles temps from 40 to 20°F with ease.",4.0,https://www.rei.com/media/93ddc6f4-0d74-4580-a04d-4452ab3ef04e?size=784x588
REI Co-op Siesta Hooded 25 Double Sleeping Bag,$229.00,"Built for car camping couples, the REI Co-op Siesta Hooded 25 double sleeping bag has dual 2-way zippers to customize venting on each side and toasty synthetic fill for cool nights.",3.8,https://www.rei.com/media/568eb3ab-551a-48e1-b2a6-24194e041e6d?size=784x588
The North Face Dolomite One Sleeping Bag,$149.00,"With innovative, interchangeable layers, The North Face Dolomite One sleeping bag functions like 3 bags in 1, letting you comfortably catch some zzzzzzs outdoors in a wide range of temperatures.",3.9,https://www.rei.com/media/428473c3-ad4d-467f-a215-bbc483f8e6bc?size=784x588
