title,price,description,rating,image
REI Co-op Trail 25 Pack - Men's,$79.95,"Sized just right for day hikes, commuting and carry-on travel, the men's REI Co-op Trail 25 pack holds plenty of gear, keeps it well organized and rides light and comfy on your back.",4.6,https://www.rei.com/media/f04915e6-dc75-446a-9858-78dc08a02e2e?size=784x588
REI Co-op Trail 25 Pack - Women's,$79.95,"Light and comfy on your back, the women's REI Co-op Trail 25 pack holds plenty of gear and keeps it well organized for day hikes, commuting and carry-on travel.",4.7,https://www.rei.com/media/ec6a991a-06c0-473e-97e9-bda48e44d2ac?size=784x588
REI Co-op Flash 22 Pack,$59.95,"Lean, clean and well-appointed, the 14 oz. REI Co-op Flash 22 gives you a removable back pad, waist and sternum straps—even a hydration sleeve—real comfort for a long day hike or summit push.",4.5,https://www.rei.com/media/9b6fd812-0683-418a-80d2-fcc7aee5c042?size=784x588
REI Co-op Trail 40 Pack - Men's,$129.00,"Built for comfort, the REI Co-op Trail 40 pack holds plenty of gear for day hikes, overnights and travel. It gives you easy access to your stuff and has tons of handy organizer pockets.",4.6,https://www.rei.com/media/a39e6a25-87fb-4233-b272-925e69ed02e0?size=784x588
REI Co-op Trail 40 Pack - Women's,$129.00,"Ideal for day hikes, overnights and travel, the strong and comfortable women's REI Co-op Trail 40 pack offers easy access to your gear, tons of organizer pockets and a comfortable carry.",4.7,https://www.rei.com/media/81201189-fd3a-44b9-b091-101ca97f2f76?size=784x588
REI Co-op Tarn 18 Pack - Kids',$26.89,"Turn your aspiring young hiker loose on the trail with the durable REI Co-op Tarn 18 daypack. They'll love the kid-specific comfort, thoughtful design and variety of pockets.",4.7,https://www.rei.com/media/4e434a2e-447f-4fc2-a115-36280ec962ec?size=784x588
REI Co-op Trailbreak 60 Pack - Men's,$149.00,"Roomy enough for a weekend and comfortable enough for long hikes, the men's REI Co-op Trailbreak 60 pack is built to last for years, and then you can hand it down—it adjusts to fit most bodies.",4.6,https://www.rei.com/media/b47c04fa-c40d-43c5-a21f-46932264f660?size=784x588
REI Co-op Traverse 32 Pack - Women's,$139.00,"Keeping you supplied for everything from ultralight overnighters to epic day hikes, the women's REI Co-op Traverse 32 pack is a durable, comfortable and well-organized workhorse.",4.7,https://www.rei.com/media/fa6b3974-d26e-49e4-8d0f-daad0dc82c5e?size=784x588
REI Co-op Traverse 32 Pack - Men's,$139.00,"A durable, comfortable and well-organized workhorse, the men's REI Co-op Traverse 32 pack keeps you supplied for everything from ultralight overnighters to epic day hikes.",4.5,https://www.rei.com/media/081c6e4b-d791-4a98-9c35-2e94856a91ab?size=784x588
REI Co-op Tarn 12 Pack - Kids',$23.89,This is a real pack—not a toy. That's why the kids' REI Co-op Tarn 12 pack gets youngsters excited to hit the trail carrying their own stuff in their own pack.,4.4,https://www.rei.com/media/9affa9a7-4c53-4e58-a991-a76253c4e6ad?size=784x588
REI Co-op Tarn 12 Pack - Kids',$23.89,This is a real pack—not a toy. That's why the kids' REI Co-op Tarn 12 pack gets youngsters excited to hit the trail carrying their own stuff in their own pack.,4.4,https://www.rei.com/media/9affa9a7-4c53-4e58-a991-a76253c4e6ad?size=784x588
REI Co-op Flash 18 Pack,$39.95,"Simple, clean and functional, the REI Co-op Flash 18 daypack is just 9.5 oz., yet roomy enough to hold the Ten Essentials (and more), comfy enough to carry all day, and even hydration compatible.",4.6,https://www.rei.com/media/5fc1afe2-b050-4b76-afd0-b4366ec4e12c?size=784x588
REI Co-op Flash 18 Pack - Pride Graphic Edition,$39.95,"Ultralight, comfy to carry and roomy enough to hold the Ten Essentials (and more) the REI Co-op Flash 18 Pride Edition pack makes hikes, travel and your daily commute feel like a walk in the park.",4.6,https://www.rei.com/media/482122f8-af91-480e-9ba1-530d2a0682c3?size=784x588
Cotopaxi Luzon 24L Pack - Del Dia,$75.00,"A big brother to the do-it-all, 18-liter Luzon, the Cotopaxi Luzon Del Dia 24-liter pack offers everything you love about the Luzon, plus added capacity and a few extra features.",4.7,https://www.rei.com/media/32dafc5e-c508-415f-8f6a-93e8307b1fbd?size=784x588
Cotopaxi Luzon 24L Pack - Del Dia,$75.00,"A big brother to the do-it-all, 18-liter Luzon, the Cotopaxi Luzon Del Dia 24-liter pack offers everything you love about the Luzon, plus added capacity and a few extra features.",4.7,https://www.rei.com/media/32dafc5e-c508-415f-8f6a-93e8307b1fbd?size=784x588
REI Co-op Tarn 65 Pack - Kids',$98.99,"Thanks to the adjustable torso and hipbelt, the REI Co-op Tarn 65 pack grows with kids, teens and tweens—and their love of hiking! And its breathable, padded back makes long hauls comfy, too.",4.0,https://www.rei.com/media/d7b51b29-ae4e-41b9-829f-905ac3c3bfbb?size=784x588
REI Co-op Tarn 65 Pack - Kids',$98.99,"Thanks to the adjustable torso and hipbelt, the REI Co-op Tarn 65 pack grows with kids, teens and tweens—and their love of hiking! And its breathable, padded back makes long hauls comfy, too.",4.0,https://www.rei.com/media/d7b51b29-ae4e-41b9-829f-905ac3c3bfbb?size=784x588
Osprey Kestrel 48 Pack - Men's,$200.00,Carry your gear off the beaten path and into the rugged backcountry with the help of the men's Osprey Kestrel 48 pack. This versatile pack is ready for any and all of your outdoor adventures.,4.7,https://www.rei.com/media/73757a56-2bd6-4155-b66a-1dff0a2536eb?size=784x588
REI Co-op Tarn 40 Pack - Kids',$59.89,"Made for the growing hiker, the adaptable kids' REI Co-op Tarn 40 pack can change shape thanks to compression straps, a removable top lid and an adjustable back panel for a variety of torso lengths.",4.2,https://www.rei.com/media/7d4b8156-59bf-4845-a740-a96c30b7db84?size=784x588
REI Co-op Tarn 40 Pack - Kids',$59.89,"Made for the growing hiker, the adaptable kids' REI Co-op Tarn 40 pack can change shape thanks to compression straps, a removable top lid and an adjustable back panel for a variety of torso lengths.",4.2,https://www.rei.com/media/7d4b8156-59bf-4845-a740-a96c30b7db84?size=784x588
Osprey Kyte 36 Pack - Women's,$180.00,"Designed and built as a durable workhorse, the women's Osprey Kyte 36 pack eagerly carries gear off the beaten path into rugged, unpredictable backcountry terrain.",4.5,https://www.rei.com/media/b6fbb852-e21c-4884-910b-6d5afd3980b7?size=784x588
