title,brand,price,description,rating,image,feature
REI Co-op Outward Padded Lawn Chair,REI Co-op,$44.93,"Like that chair from your childhood, except the REI Co-op Outward padded lawn chair is way comfier—thanks to the padding. Plus it's taller off the ground and has backpack straps.",4.7,https://www.rei.com/media/87e923bb-5b90-48d7-b4f0-d58b9d9513fb?size=784x588,"['5 in. taller than its low counterpart (the REI Co-op Outward Low Padded Lawn Chair)', 'Sturdy, padded ripstop polyester seat is treated with a durable water repellent (DWR) finish to shed light rain and stains', 'Bifold design allows easy setup and takedown', 'Frame is constructed of light-but-strong coated aluminum', 'Attached backpack straps and carry handle make the chair easy to transport to the park, concert or campground', 'Secure closure system lets you stash blankets and other small items inside the folded chair', 'Chair has a weight capacity of 250 lbs.', 'Wooden arms', 'Made using bluesign®-approved materials, which conserve resources and protect the health of the environment, workers and sitter (you!)']"
REI Co-op Camp X Chair,REI Co-op,$49.95,This travel-friendly chair raises the bar for comfort with exclusive X-Web technology that evenly distributes your weight to make your campfire or backyard lounge sessions so much more enjoyable.,4.3,https://www.rei.com/media/306892f9-e30e-4492-bbf9-e7748fbf65f1?size=784x588,"['X-Web technology uses X-shape webbing to tension the seat and back panel, and distribute your weight for excellent sitting comfort', 'Mono-mesh and polyester seating surface stands up to regular use and exposure to weather; mesh fabric drains water and dries quickly', 'Frame is constructed of heavy-duty, thick-walled steel tubing for enduring strength; powder coating keeps the frame looking nice for years of use', 'Versatile integrated cup holder on the right armrest accommodates a wide variety of container shapes and sizes, from mugs to plastic bottles to long-neck glass bottles', 'Drop-down pocket on the left armrest holds your cell phone and other small valuables; cinch the pocket closed with the string and cordlock to keep items from falling out', 'Chair has a weight capacity of 300 lbs.', 'The REI Camp X chair packs up into the included stuff sack for easy storage and transportation']"
GCI Outdoor Kickback Rocker Chair,GCI Outdoor,$65.00,"Supplying copious comfort for its midsize stature, the light and compact GCI Outdoor Kickback Rocker chair sits slightly lower than standard chairs, but higher than low-to-the-ground designs.",4.6,https://www.rei.com/media/42ee18df-a88c-4100-a4b6-7d65d0744ad5?size=784x588,"['Patented Spring-Action Rocking Technology™ ensures smooth rocking action on flat, hard or soft terrain', 'Features a built-in carry strap and loop-and-peg closure system for quick setup and takedown', 'Includes a beverage holder and phone pocket', 'Powder-coated steel frame is strong and durable']"
Mountain Summit Gear Cooler Chair,Mountain Summit Gear,$36.93,"The ultimate tailgater's base camp, the Mountain Summit Gear Cooler chair comes with a detachable, insulated cooler and a folding table, making it perfect for the big game, backyard or campsite.",4.4,https://www.rei.com/media/a4c95047-905e-4d65-8d2f-fdc285872008?size=784x588,"['Ergonomic design and padded armrests add comfort', 'Detachable, insulated cooler keeps your drinks chilled', 'Large folding side table lets you set up all your snacks', 'Steel frame with a powder-coated finish provides durability']"
REI Co-op Flexlite Air Chair,REI Co-op,$99.95,"The REI Co-op Flexlite Air is one chair even ounce-counting backpackers can love—for just one extra pound, you get the luxury of sitting high and dry, out of the reach of poking pine needles.",4.1,https://www.rei.com/media/6ab9893b-3da2-42a9-92e2-060250f5340d?size=784x588,"[""Sets up easily using an aluminum frame that's similar to the frame on a lightweight tent; 4-leg design provides stability"", 'Sturdy ripstop nylon seat has a durable water repellent (DWR) finish to shed light rain and stains', 'Folds down easily to store in the included stuff sack', '250 lb. weight capacity']"
REI Co-op Flexlite Camp Chair,REI Co-op,$69.95,"For both its size and hardiness, the REI Co-op Flexlite camp chair has become a co-op favorite. Its ripstop seat and tentlike frame surpass our durability tests—and fans' bring-it-anywhere tests, too.",4.1,https://www.rei.com/media/85a3df6c-ba55-4dc8-87ea-aabcc8ac4e02?size=784x588,"['Updated seat eliminates tension zones and provides comfort for a wider range of bodies; updated pole pockets utilize pull loops and larger openings for an easier setup', ""Sets up easily using an aluminum frame that's similar to the frame on a lightweight tent; 4-leg design provides stability"", 'Abrasion-resistant ripstop polyester seat also has a Durable Water Repellent (DWR) finish to resist moisture and stains', 'Folds down easily to store in the included stuff sack', 'Made to reflect our love for people and the planet through the use of bluesign®-approved polyester', 'bluesign®-approved materials conserve resources and protect the health of the environment, workers and wearer (you!)']"
REI Co-op Outward Padded Bench,REI Co-op,$49.93,We made this easy-to-tote 2-person bench with a padded seat to ensure everybody has a comfy spot at your campfire. The REI Co-op Outward Padded Bench packs down small and opens up in a flash.,4.9,https://www.rei.com/media/fbe44ec7-0ecc-44a9-9934-6e3b3448229b?size=784x588,"['Seat is made from sturdy ripstop polyester with a durable water repellent (DWR) to shed light rain and stains', 'Foam padding provides comfort and warmth', 'Coated aluminum frame with steel bracing is light but strong and solidly supportive', 'Bench folds down to 24.5 x 18 x 8 in. for easy transport', 'Weight capacity: 500 lbs.', 'Made using bluesign®-approved materials, which conserve resources and protect the health of the environment, workers and sitter (you!)']"
REI Co-op Camp Low Chair,REI Co-op,$49.95,"Making a comeback because of co-op love, the REI Co-op Camp Low chair is beloved for its low-profile, durable powder-coated steel frame, comfy, water-repellent padded seat and overall carry-ability.",4.3,https://www.rei.com/media/1ef27b5f-5324-46db-8be3-7adf244f60bd?size=784x588,"['Low-profile padded seat provides off-ground comfort at an outdoor concert, sandy beach or campsite', 'Chair folds down flat and comes with an adjustable, clip-off carry strap for easy transport', 'Rugged powder-coated steel frame stays strong and looking nice for years of use', 'Rear pocket stows small essentials', 'Made to reflect our love for people and the planet through the use of recycled polyester and bluesign®-approved materials', 'Recycled materials keep waste out of landfills and bluesign®-approved materials conserve resources and protect the health of the environment, workers and user (you!)']"
REI Co-op Camp Xtra Chair,REI Co-op,$69.95,"Sturdy, comfortable and stocked with 2 drink holders and a side stash pocket, this chair features X-Web technology to evenly distribute your weight and make the most of your lounge time.",4.5,https://www.rei.com/media/34209956-4bfd-4402-8ad0-2da7ce9cf5be?size=784x588,"['X-Web technology uses X-shaped webbing to tension the seat and back panel, and distribute your weight for excellent sitting comfort', 'Double-layer 600-denier polyester ripstop fabric ensures years of use; close-cell foam padding in the seat adds comfort', 'Frame is constructed of heavy-duty, thick-walled steel tubing for enduring strength; powder coating keeps the frame looking nice for years of use', 'Versatile integrated cup holders on both armrests accommodate a wide variety of container shapes and sizes, from mugs to plastic bottles to long-neck glass bottles', 'Side stash pocket keeps magazines, books and maps within reach', 'Chair has a weight capacity of 400 lbs.', 'The REI Camp Xtra chair packs up into the included stuff sack for easy storage and transport']"
Mountain Summit Gear Ultra Comfort Camp Chair,Mountain Summit Gear,$36.93,"Comfortable and stable with an updated ergonomic design, the Mountain Summit Gear Ultra Comfort camp chair is compact enough take along on camping trips, sporting adventures and more.",4.5,https://www.rei.com/media/e9eee2e1-b903-4b5b-a275-5c0bd8b467f1?size=784x588,"['Durable ripstop material and fine mesh construction holds up and lets air flow through', 'Frame design stays closed without straps for easy transport', 'Includes a carry bag with strap for transport and storage']"
REI Co-op Camp Prep Table,REI Co-op,$149.00,Never enough prep space? Carry along the REI Co-op Camp Prep Table to extend your tailgate or picnic table. The independently adjustable legs handle a wide range of heights and uneven terrain.,4.3,https://www.rei.com/media/78984a3f-828d-4e5c-80bc-f99bf018fd88?size=784x588,"['Powder-coated aluminum slat top is durable, lightweight, heat-resistant and easy to clean', 'Steel legs independently adjust from 22 to 31 in. using lever locks similar to those on trekking poles', 'Corner holes let you DIY some hanging storage, like a trash bag loop or dish towel hanger', 'Folds in half for compact storage; handle makes for easy transportation', '100 lb. weight capacity']"
REI Co-op Trail Stool,REI Co-op,$24.95,"Get off the ground and up onto the comfortable, travel-friendly Trail Stool. It's light enough to take on short hikes and sturdy enough for regular use at the campground.",4.3,https://www.rei.com/media/25a795b2-af55-427a-b1dc-5e703ec4dd8b?size=784x588,['Rugged aluminum legs maximize load capacity and minimize weight and bulkiness']
Helinox Chair Zero,Helinox,$129.95,"The Helinox Chair Zero is a lightweight and comfortable, four-legged camp chair that packs down to the width of a standard 32 oz. water bottle and weighs just a single pound.",4.5,https://www.rei.com/media/dc47d9eb-d3d8-4c1f-93e9-9e8a33d70f84?size=784x588,"['Seat is 8.5 in. off the ground', 'Thanks to anodized DAC aluminum poles, Chair Zero is strong enough to support up to 265 lbs.', 'Single shockcorded pole structure makes for easy setup', 'Compact size makes it easy to pack and carry', 'Stuff sack included', 'To sit above snow, sand, or muddy ground, pair it with the small Helinox Chair Groundsheet (not included), which secures to the feet and distributes weight to a larger surface']"
Mountain Summit Gear Horizon Cot,Mountain Summit Gear,$99.95,"Spend less time setting up camp and more time lounging under the stars with this Mountain Summit Gear Horizon cot. Setup is as easy as 1, 2, 3.",4.4,https://www.rei.com/media/a2d749b0-5e79-4696-9f8e-ba90b951f0d2?size=784x588,"['Easy-fold frame system offers quick setup', '600-denier polyester fabric is comfortable and durable', 'Sturdy steel frame', 'Excellent for camping or lounging, this cot also makes a great extra bed for home use', 'Side pocket offers convenient storage', '300 lb. (136 kg) weight capacity']"
NEMO Stargaze Recliner Luxury Chair,NEMO,$249.95,"Be the hit of the meteor shower party in the NEMO Stargaze Recliner Luxury. Its supportive headrest ensures you won't get a crick in your neck as you lean back, swing and marvel at the night sky.",4.3,https://www.rei.com/media/3cb634bf-c2d0-436e-af34-a4e9b57b4c09?size=784x588,"['Suspended air-rocking and reclining chair swings smoothly and gently on any surface, including above rocky or sandy surfaces', 'Auto-reclining hardware lets you lean back and stretch out without the use of runners', 'Aircraft-grade aluminum suspension frame is sturdy and packs down quickly and compactly', 'Water-resistant mesh resists the buildup of odor-causing bacteria and stands up to sun exposure', 'Padded armrests are comfortable for lounging in the backyard or at the campsite', 'Chair swings smoothly and gently, with a relaxing motion that is designed for comfort', ""Integrated cup holder keeps a beverage within arm's reach"", 'Stash pocket accommodates a tablet, keys or a favorite book', 'Padded carrying case has a convenient interior storage pocket']"
REI Co-op Flexlite Camp Dreamer Chair,REI Co-op,$99.95,"You asked for it: a headrest on our durable, compact co-op favorite Flexlite chair. The REI Co-op Flexlite Camp Dreamer has it, plus sizable pockets to truly make this a dream of a chair.",4.1,https://www.rei.com/media/eb7f93b1-5201-4a1d-8dc0-928e779f2171?size=784x588,"['Removable pillow, higher back, mesh pockets on both sides and an increased weight limit of 300 lbs. make this a comfort-first upgrade from the original Flexlite camp chair', 'Updated seat eliminates tension zones and provides comfort for a wider range of bodies; updated pole pockets utilize pull loops and larger openings for an easier setup', ""Sets up easily using an aluminum frame that's similar to the frame on a lightweight tent; 4-leg design provides stability"", 'Abrasion-resistant ripstop polyester seat also has a Durable Water Repellent (DWR) finish to resist moisture and stains', 'Folds down easily to store in the included stuff sack', 'Made to reflect our love for people and the planet through the use of bluesign®-approved polyester', 'bluesign®-approved materials conserve resources and protect the health of the environment, workers and wearer (you!)']"
REI Co-op Campwell Picnic Bench Covers,REI Co-op,$44.95,"What? That splintery, dirty picnic table bench doesn't look inviting? Lay down the padded REI Co-op Campwell picnic bench covers and make every seat at the table a happy one.",4.5,https://www.rei.com/media/1cb1cdc1-f69d-4cca-919a-dbc3ca310986?size=784x588,"['Rugged, 200-denier recycled polyester fabric has a durable water repellent coating (DWR) to repel moisture and wipe clean easily', 'Foam padded for comfort', 'Adjustable retention straps secure covers to benches', 'Set of 2 covers both sides of standard-size picnic table benches', 'Includes stuff sack', 'Hand-wash, line dry', 'Made to reflect our love for people and the planet through the use of recycled polyester and bluesign®-approved materials', 'Recycled materials keep waste out of landfills and bluesign®-approved materials conserve resources and protect the health of the environment, workers and wearer (you!)']"
REI Co-op + West Elm Outward Dining Table,REI Co-op + West Elm,$149.00,"Whether you're in for a feast or just laying out snacks, the REI Co-op + West Elm Outward Dining Table will come in handy. It has a heat-resistant top that rolls up when it's time to break camp.",3.8,https://www.rei.com/media/ce0f6d34-194a-4b36-85c9-39e907072146?size=784x588,"['Heat-resistant aluminum roll-top provides a large, stable surface for meals, games and prep', 'Durable powder-coated steel frame is lightweight yet sturdy', 'Foldable frame and roll-up slats easily stow into the included carry bag']"
