title,brand,price,description,rating,image,feature
SOL Flat Pack Collapsible Sink - 16 Liters,SOL,$22.00,"Campsite cleanup is no longer a hassle with the 16-liter SOL Flat Pack collapsible sink. Its large capacity makes it easy to use as a basket for hauling supplies, too.",4.8,https://www.rei.com/media/06a421ad-3f79-448e-aea4-aff460e40ec3?size=784x588,"['When the day is done, the sturdy sink and dual-carry handles fold flat to store until the next adventure', '16-liter capacity is ideal for cleaning or hauling supplies']"
MSR Alpine Dish Brush/Scraper,MSR,$5.95,The MSR Alpine Dish brush/scraper helps you get your pots and pans sparkling clean.,4.8,https://www.rei.com/media/cae3b19f-313f-41d1-8067-5b0b8d095006?size=784x588,"['Brush/scraper is suitable for use on nonstick finishes', 'Scraper is shaped to match most cookware bevels', 'Stiff-bristled brush handles tough cleaning jobs', 'The MSR Alpine Dish brush/scraper features an ergonomic rubber grip']"
SOL Flat Pack Collapsible Sink - 8 Liters,SOL,$16.00,Campsite cleanup is no longer a hassle with the 8-liter SOL Flat Pack Collapsible Sink. This large-capacity yet easily collapsible sink has a tight-close drain in the base to empty dirty water.,4.4,https://www.rei.com/media/d768c462-3b71-4847-9315-e64ae89565bd?size=784x588,"['8-liter capacity is ideal for cleaning or hauling supplies', 'Feet on each corner of the base keep it sturdy on unstable ground', 'Empty dirty water with the tight-close drain in the bottom of the basin', 'Carry dirty dishes or supplies with the easy-carry side handles', 'Lightweight, flexible panels', 'When the day is done, the sturdy thermoplastic rubber (TPR) collapses flat to store until the next adventure']"
Coghlan's 12-Egg Holder,Coghlan's,$5.75,Carry a dozen eggs with the Coghlan's 12-Egg holder and whip up a breakfast feast the next time you're car camping or backpacking.,4.0,https://www.rei.com/media/f81950f1-ac90-4ed5-bfd9-f61356190a9f?size=784x588,"['Clean, compact and unbreakable storage for up to 12 medium-size eggs', 'Molded handles make for easy carrying']"
GSI Outdoors Rakau Knife Set,GSI Outdoors,$79.95,"Bring your kitchen to the wild with this Rakau knife set from GSI Outdoors. A cutting board, dish towel, sharpener and 3 knives help you prepare chef-quality meals wherever you explore.",4.9,https://www.rei.com/media/35e3ee34-6cff-4a32-a59c-43af1e5d9625?size=784x588,"['Compact bamboo cutting board with juice gutter provides a perfect prep surface', 'Microfiber dishcloth helps make cleanup quick and easy', '3-piece knife set includes a paring knife, bread knife and santoku chef knife; knives are made from stainless steel with waterproof wood-laminate handles', 'Chef knife has a santoku blade with Granton scallops for thin slicing; serrated bread knife is ready for hard baguette crusts; paring knife tackles crisp fruit cores with ease', 'Knife sharpener helps keep your blades in top shape', 'Set is contained in a convenient PET cloth case with an integrated knife sheath to protect and safely manage the blades', 'Microfiber and PET cloth are made from recycled materials']"
Mountain Summit Gear Deluxe Roll Top Kitchen,Mountain Summit Gear,$149.95,Store all of your camp kitchen goodies with the spacious Mountain Summit Gear Deluxe Roll Top kitchen. It has 2 side tables and a detachable compartment with two shelves to keep your gear organized.,4.6,https://www.rei.com/media/058e7a8a-a85e-4632-8027-84d479d78b88?size=784x588,"['Lightweight, sturdy, weather-resistant aluminum frame sets up in under a minute', '2 aluminum roll-top table stations and 2 foldaway side tables', 'Detachable storage compartment with 2 shelves', 'Adjustable legs accommodate uneven surfaces', 'Folds and stores away in a convenient, easy-to-carry bag']"
AeroPress Go Travel Coffee Press,AeroPress,$39.95,"Thoughtfully engineered to provide all the delicious brewing capabilities of the original, the AeroPress Go Travel coffee press includes a convenient drinking mug that doubles as a carrying case.",4.8,https://www.rei.com/media/31067c1d-68df-4e67-8439-ce140d62ff32?size=784x588,"['AeroPress Go brews remarkably delicious American, espresso and cold-brew style coffee', ""Smart design makes it easy to bring camping or backpacking, ensuring you'll never be without delicious brewed coffee wherever you go"", 'Brews smooth, rich coffee without the bitterness and high acidity you can expect from French-press brewed coffee', 'Brews 1-3 cups of hot coffee in about 1 minute or cold-brew coffee in around 2 minutes', 'Everything packs up neatly into the included mug', 'Cleans up with just a quick rinse', 'Includes 350 paper micro-filters', 'Travel filter holder fits 20 filters', 'BPA- and phthalate-free', 'Packaging is recyclable']"
Eureka SPRK+ Butane Camp Stove,Eureka,$59.95,"Small, portable and powerful, the Eureka SPRK+ butane camp stove boasts a powerful 11,500 BTU burner, as well as a simmer control for fine-tuned heat—all in a compact package.",4.6,https://www.rei.com/media/15f017c9-7110-42da-821c-9be511c7086d?size=784x588,"['Cook fast with a powerful 11,500 BTU burner', 'Simmer control makes it easy to cook up the perfect pancakes, chili, pan-seared steaks and more', 'Double-walled wind protection helps maintain fuel efficiency', 'Adjustable feet to stay level on any surface', 'Integrated fuel compartment for 8 oz. butane canisters (not included)', 'Fuel not included']"
GSI Outdoors Halulite Microdualist II Cookset,GSI Outdoors,$48.93,"Say goodbye to scratches, burn circles and grams. The superlight GSI Outdoors Halulite Microdualist II cookset uses a proprietary alloy to conduct heat evenly and efficiently, saving on fuel.",4.7,https://www.rei.com/media/f803e84c-0185-4c38-924f-4014cf21a194?size=784x588,"[""Kit includes a hard-anodized 1.4L pot with strainer lid, two 14 fl. oz. insulated mugs with lids, two 14 fl. oz. bowls, 2 folding 'foons' and a welded sink/storage bag"", 'Hard-anodized Halulite alloy pot distributes heat evenly for fast and efficient cooking and is extremely lightweight and abrasion-resistant', ""Crushproof, heat-resistant, nylon pot lid won't deform in packs; lid includes an integrated strainer"", 'Folding handle locks into place for cooking and secures entire cookset for transport', 'Unique bowl and mug solution offers a low center of gravity and sip-it lid to virtually eliminate spills; insulating sleeve keeps drinks hot', 'Folding foon compacts to just 3.7 in. long but extends and locks to become a 6.1 in. fork-spoon hybrid', 'Convenient graduations molded into the 1.4-liter pot make for easy measuring', 'Welded stuff sack holds the cookset while traveling and doubles as a sink or wash basin in camp', 'Integrated nesting design has room for an ultralight stove and 110g fuel canister to store within the set (not included)', 'Handy spout makes it easy to pour water for rehydrating meals or brewing coffee or tea']"
OXO Outdoor Santoku Knife with Locking Sheath,OXO,$19.95,"A good chef's knife is a must-have in any kitchen—even an outdoor one. The OXO Outdoor santoku knife with locking sheath makes quick work of slicing, dicing, mincing and scooping.",4.7,https://www.rei.com/media/cadf451f-b703-496b-a1ac-9cf58dc1b5d0?size=784x588,"[""Japanese-style chef's knife easily slices through meat, fish and vegetables"", ""Sharp Japanese stainless-steel blade prevents food from sticking and won't corrode over time"", 'Comfortable nonslip handle provides a secure grip even with wet hands', 'Locking sheath keeps knife safe and helps retain blade edge', 'Hand-wash with warm, soapy water and promptly dry']"
Soto Amicus Stove Cookset Combo,Soto,$44.95,"Whether you're heading out on a backpacking trip or picnicking after a day hike, the Soto Amicus Stove Cookset Combo provides everything you need to cook a meal in a lightweight package.",4.5,https://www.rei.com/media/4d25d407-d999-4619-a9fb-b8625dbe70d2?size=784x588,"['Cookset includes 1 small pot (500 ml) and 1 large pot (1,000 ml) for cooking pastas, scrambles and more; small pot doubles as a lid for the large pot', 'Stove operates with reliable triple O-ring valve system; compact and lightweight design is easy to transport', 'Unique raised ledge at crown of burner head increases performance in windy conditions', '4 spring-loaded, pot-support legs are engineered for easy setup and pot stability', 'Stove weighs just 2.9 oz. and is compatible with standard isobutane canisters such as Primus, Snow Peak, MSR and Jetboil (canister sold separately)', 'Stove outputs 11,000 BTUs and burns approx.1.5 hours with 8 oz. (250g) fuel canister', 'Stove is outfitted with a stealth igniter, letting you light the stove without use of matches or a lighter', 'Note: Fuel canister and serving utensil are shown in a detail photo only to illustrate the ability to nest these items if you have them; they do not come as part of this set', 'Fuel not included']"
REI Co-op Campwell Picnic Table Cover,REI Co-op,$49.95,"Keep camp clean with the REI Co-op Campwell Picnic Table cover. It attaches to most campground and park picnic tables—and has an organizer for your your dishes, cutlery and napkins.",4.1,https://www.rei.com/media/d30e8310-9ae8-44e2-bae9-a7bd46efcfc1?size=784x588,"['Rugged, 200-denier recycled polyester fabric has a durable water repellent coating (DWR) to fend off moisture and wipe clean easily', 'Reversable design is printed on one side and solid on the other so you can pick your vibe or flip the cover if one side gets soiled', 'Adjustable retention straps secure cover to table, ensuring drama-free function in the wind', 'Removable mesh organizer panel holds your plates, silverware, snacks and napkins', 'Machine washable; retention straps and organizer remove easily so cover can be laundered', 'Measures 72 x 45 in.', 'Includes nylon carry sack', 'Made to reflect our love for people and the planet through the use of recycled polyester, which helps keep waste out of landfills']"
Rolla Roaster Marshmallow and Hot Dog Roasting Forks - Pair,Rolla Roaster,$17.00,Rolla Roasters are extendable forks that let you roast marshmallows and hot dogs with ease.,4.7,https://www.rei.com/media/2f6bea80-6475-4279-8639-ca60df80a518?size=784x588,"['Features stainless-steel fork and heat-resistant wood handle', 'A knob on the handle lets you rotate the fork for even roasting', 'Extends 42 in. so you can sit comfortably away from the heat of the fire', 'Sold as a pair']"
Sea to Summit Kitchen Sink - 20 Liters,Sea to Summit,$29.95,"When you need to wash a lot at once or collect a ton of water, the 20-liter Sea to Summit Kitchen Sink fits the bill. It's a portable, collapsible camp sink that stands on its own when filled.",4.3,https://www.rei.com/media/3287c2cc-125d-4375-aafc-2fce2a83192d?size=784x588,"['Not just for washing dishes—use the Kitchen Sink to collect and purify water, for personal bathing or as a water bowl for your pet', 'Practice the Leave No Trace principles of outdoor ethics by not washing directly into rivers and lakes', 'Avoid polluting streams and endangering aquatic life by washing dishes and bathing 200 ft. away from streams and lakes', 'Stainless-steel ring provides stability to keep the bowl from collapsing or tipping over when full', 'Large 20-liter (5.3 gal.) volume offers plenty of room for washing large pots and pans; fully taped seams prevent leaks', '2 sturdy webbing handles for easy carrying', 'Mesh storage pouch included', 'Comes in assorted colors only; sorry, specific color requests cannot be accommodated']"
