title,brand,price,description,rating,image,feature
SOL Pocket Chain Saw,SOL,$21.95,Make quick work of overgrown trails and downed trees with the SOL Pocket chain saw. Its sharp cutting teeth and strong carbon steel construction make trail cleanup a breeze.,5.0,https://www.rei.com/media/aabb372a-7ae1-4b48-ba07-ee7eb26e3cef?size=784x588,"['Saw includes 40 in. of 65# carbon steel with 11 cutting teeth and 34 drive links', 'Easy-grip webbing handles are reinforced for durability', 'Saw packs down into a 7 x 4 x 2 in. sturdy pouch to pack in your bag or wear on your belt']"
Leatherman Signal Topo Multi-Tool,Leatherman,$129.95,Push into the backcountry with confidence with the Leatherman Signal Topo multi-tool clipped to your belt. A bevy of tools and a unique topo-map blade make this multi-tool stand out from the rest.,4.7,https://www.rei.com/media/9b473703-9bf8-4808-b2b9-467de06277a4?size=784x588,"['Features a stainless-steel blade, needle-nose/regular pliers, wire cutters, screwdrivers, saw, awl, can/bottle opener, carabiner, safety whistle and a fire-starting ferro rod', 'Stainless-steel construction provides years of dependable service; each implement is heat-treated to optimal hardness for its function', ""Included diamond-shaped sharpener allows you to maintain the knife's straight and serrated blade"", 'Blade features one-of-a-kind topographical map laser markings']"
TheTentLab The Deuce #2 UL Backcountry Trowel,TheTentLab,$19.95,"The Deuce #2 UL trowel from TheTentLab is a revolutionary ultralight backcountry latrine trowel that can be used with the handle up or, for 4 times the digging power, handle down.",4.5,https://www.rei.com/media/44df3978-c43f-4cc9-8b08-0dfa5cfcc39d?size=784x588,"['Regularly using this trowel requires using ""Advanced Techniques""; see User Manual on this page for details and instructions', ""4 teeth on the leading edge of the blade are shaped and placed for cutting roots up to 0.5 in. thick as you run into them in your cat hole; teeth don't obstruct normal digging"", 'Finger-grip contours on the handle ensure a secure grip', 'Thin edge of aerospace-grade aluminum cuts through small roots and tough ground', 'Weighs just 17 grams (0.6 o.z), which is the weight of 3 U.S. quarters', 'Minimalist, incognito design', 'Also makes a great sand stake, shoe horn; bear-canister screw tool, bottle opener or sandcastle sculpter', '100% recyclable; just drop it into any aluminum recycle bin', 'Designed in Colorado by TheTentLab; some colors made in Colorado, other colors made in Korea']"
Work Sharp EDC Pivot Knife Sharpener,Work Sharp,$5.95,"Sharpen knives fast and easily with the Work Sharp EDC Pivot knife sharpener. Its compact size easily stows in your pack, pocket or tackle box so you always have a sharp edge when you need it.",4.3,https://www.rei.com/media/6b742b1f-04a4-49dc-8bbd-5d789eb52e5a?size=784x588,"['Convex-Carbide™ quickly restores a sharp edge, while fine-grit ceramic rods hone the edge back to factory-level sharpness', 'Additional medium-grit diamond sharpening surface is ideal for touching up knives, tools and even fishhook', 'Pivot-Response™ allows you to control how much material is removed, making sharpening easier and more consistent']"
Gerber Bushcraft Hatchet,Gerber,$64.95,"Built with the belief that thriving in the woods is not a matter of fortune, but a matter of preparedness, the Gerber Bushcraft Hatchet ensures you won't be empty handed in the face of a challenge.",5.0,https://www.rei.com/media/007b1c47-5802-433e-99cb-f5a4ee7fd23c?size=784x588,"['Single-piece axe head features an overstrike guard for durability and a hammerhead for added utility', 'A rubber overmold grip at the bottom of the axe head lets you choke-up securely when cutting', 'A waterproof Gear Storage Stick nests in the handle, hosting 5 ft. of paracord and a storage compartment for a mini lighter, fire starter or dry tinder (not included)', 'Porting in handle offers weight reduction', ""Backed by the manufacturer's limited lifetime warranty""]"
MSR Stake Hammer,MSR,$39.95,"Far better at driving stakes into the rocky ground than any rock at hand, the MSR Stake Hammer offers a hardened stainless-steel head with a perfectly balanced swing weight.",4.8,https://www.rei.com/media/c732409d-cfbc-4195-b9e1-3906d587865e?size=784x588,"['Comfortable aluminum shaft', 'Integrated bottle opener', '11 in. length fits into most tent storage bags']"
outdoor element Firebiner,outdoor element,$14.95,"This handy tool starts fires, cuts wires and opens bottles. The outdoor element Firebiner looks like a low-key carabiner, but it provides outdoor enthusiasts a lot more bang for their buck.",4.5,https://www.rei.com/media/fe5dd218-f013-47a1-9dac-dcfa9cf98a8a?size=784x588,"['Replaceable ferro rod (extra rods included) and patent-pending Spark Wheel help start fires with ease', 'Stainless-steel safety blade easily cuts paracord, fishing line, string and more', 'Also features a screwdriver tip for quick fixing, and hang slots to connect your keys or other small items with an appropriate ring or clasp', 'Bottle opener helps you crack a cold one after setting up camp', 'Strong, thin stainless-steel gate stays closed but is easy to open when needed', 'Stainless-steel construction with titanium coating offers durability and strength; Firebiner has a 100 lb. capacity', 'Not for climbing use']"
Celestron Nature 10 x 25 Monocular,Celestron,$49.95,"The Celestron Nature 10x25 monocular is ideal for viewing wildlife on trips where pack weight is important. Tipping the scales at a mere 6 oz., it's ideal for fast-and-light backpackers and travelers.",4.4,https://www.rei.com/media/0eb69b61-aed8-48de-b005-097ad450ac81?size=784x588,"['Compact, lightweight design is ideal for carrying on a backpacking trip or hiking excursion', 'Waterproof and fogproof for worry-free use in damp environments', 'Multicoated for maximum resolution and high contrast views', '10x zoom lets you get a better look at the local wildlife', 'Rubber covered for protection and a secure grip']"
TheTentLab The Deuce #3 Heavy Duty Backcountry Trowel,TheTentLab,$24.95,"Weighing less than 2 tablespoons of water, The Deuce #3 Heavy Duty Backcountry trowel by TheTentLab is light but tough. Aerospace-grade aluminum lets you dig and pry with ease, even on rocky ground.",4.2,https://www.rei.com/media/191b97a0-8021-487a-a605-7688f5eea16b?size=784x588,"['4 teeth on the leading edge of the blade are just right for working through small roots and hard clay; teeth can be resharpened with a rock for easy backcountry maintenance', '#3 is bigger and twice as strong as #2 model for easy and fast digging and prying on tough terrain', 'Made of aerospace-grade, U.S.-produced  7075-T6 aluminum for high strength and durability', 'Handle has small ripples to improve friction and grip', 'Versatile construction means you can also use it as a shoe horn or bottle opener', 'Product is guaranteed for life by the manufacturer']"
Gerber Ultimate Survival Fixed Blade Knife,Gerber,$49.95,Love going off the grid? The Gerber Ultimate Survival fixed blade knife helps you thrive in the toughest environments. It boasts a dependable blade and innovative survival tools for any adventure.,4.7,https://www.rei.com/media/f7bea5e3-596f-4546-83bf-46e597950467?size=784x588,"['Ergonomic grip allows for comfortable handling', 'Dependable steel blade features a partially serrated edge', 'Military-grade nylon sheath protects your blade', 'Includes a fire starter and striking edge, a diamond blade sharpener, an emergency whistle and a hammer pommel']"
