title,brand,price,description,rating,image,feature
Darn Tough Bear Town Micro Crew Socks - Women's,Darn Tough,$23.00,"Lightly cushioned hiking socks with all the anti-funk qualities of merino wool, the women's Darn Tough Bear Town Micro Crew socks give you freedom and flex to hike your way up any trail.",4.7,https://www.rei.com/media/0e88bbd4-6eda-45c4-8fd0-18c2ab02c8e5?size=784x588,"['Light cushioning is perfect for hikers looking for a little less volume; the socks are light and strong with a thin layer of cushioning along base of feet', 'True Seamless™ construction provides a smooth, performance fit to prevent slipping, bunching and blisters', ""Fine-gauge merino wool naturally regulates temperature, has antimicrobial properties and wicks moisture; it's warm in the winter, cool in the summer"", 'Micro crew height is a shorter, more concise take on the traditional crew height that peeks just above the top of a standard hiking boot', ""Covered by manufacturer's lifetime warranty""]"
REI Co-op Sahara Shade Hoodie - Women's,REI Co-op,$49.95,Move like you're in a T-shirt but with full protection from the sun. The women's REI Co-op Sahara Shade Hoodie is built for the trail with a tech-tee-like knit that wicks moisture and provides shade.,4.6,https://www.rei.com/media/27fdbbc6-f7e3-40f5-bff9-f7028ac3a2ae?size=576x768,"['UPF 50+ fabric shields against harmful UV rays', 'Supersoft stretch knit wicks away moisture and dries quickly to withstand multiple days on the trail', 'Antimicrobial treatment inhibits growth of odor-causing bacteria on the fabric', '3-panel hood has an internal drawstring to seal out the elements and a crossover style opening for sun coverage at the neck', 'Dropped shoulders provide extra mobility and unrestricted movement', 'Thumbholes hold sleeves in place', 'Shaped hem provides a little extra coverage and protection from your pack']"
Darn Tough Hiker Quarter Cushion Socks - Women's,Darn Tough,$20.00,"Darn Tough Hiker Quarter Cushion women's socks deliver what you need on the trail. A Performance Trail fit means no bunching, no slipping, and no blisters. Side vents deliver superior breathability.",4.8,https://www.rei.com/media/a7ff77e4-31dd-4eab-918a-c0e339144a44?size=784x588,"['Quarter sock height sits just above the ankle, making it great for low-cut hikers and running shoes', 'Medium-density cushion underfoot', 'Warm and ultra-comfortable choice when conditions demand it', 'Performance fit cuts down on slipping, bunching and blisters', 'Undetectable seam fusion for an ultra-smooth, invisible feel', 'Socks are cool in the summer and warm in the winter, and repel bacteria and odors', 'Guaranteed for Life by Darn Tough: No strings. No conditions. For life.']"
Athleta Trekkie North Jogger Pants - Women's,Athleta,$89.00,"Explore on trail or off in these women's Athleta Trekkie North Jogger pants. They're made with sleek, lightweight fabric that feels comfy as your favorite sweats but wicks moisture away like a champ.",4.5,https://www.rei.com/media/6351dc11-cce1-4140-9c3b-1dae79644376?size=576x768,"['Made with recycled nylon, a high-performance material that helps lessen impact on the world, with 2-way stretch for extra mobility', 'Fabric resists snags and tears, and pulls sweat away from the body so it can evaporate faster', 'Rated UPF 50+ for excellent sun protection', '3 secure zip pockets to stash your essentials—1 in back and 2 in front', 'Knit waistband holds you in comfortably', 'Fitted; mid rise sits below the natural waist']"
REI Co-op Savanna Trails Pants - Women's,REI Co-op,$54.95,The women's REI Co-op Savanna Trails pants give you the stretch and strength you need to tackle trails and crags with confidence and in total comfort.,4.4,https://www.rei.com/media/bd8bb7d2-9482-4497-8db0-788af97d1972?size=576x768,"['Sturdy nylon spandex fabric is breathable, moisture-wicking and treated with a durable water repellent (DWR) to shed light rain and stains', 'Stretch fabric and articulated knees let you move freely', 'Elastic back waistband and bungee drawcords at cuffs keep the fit comfortable no matter how you stretch and move', 'Double-layer knees stand up to the scuffs of bouldering and days on the trail', 'Deep front cargo pockets with hidden, zippered stash pocket at right pocket; zippered stash pocket at right rear; secure snap pocket at left rear', 'Fabric offers UPF 50+ for excellent UV protection; durable water repellent (DWR) sheds light rain and stains']"
REI Co-op Flash Hybrid Tights - Women's,REI Co-op,$74.95,"Prefer to hike in leggings but fear snags from sketchy trails? The women's REI Co-op Flash Hybrid Tights let you scramble in comfort, with their combo of soft stretch jersey and durable stretch nylon.",4.5,https://www.rei.com/media/fb04dcea-9d21-4eb3-855a-63841d2cb7ec?size=576x768,"['Stretch jersey fabric breathes, wicks moisture and dries quickly', 'Strategically placed soft-shell fabric provides durability and shape support', 'Breathable, abrasion-resistant panels add cool comfort', 'Stretch side pocket holds a phone gently yet firmly in place, preventing jostling on the trail', 'Zippered pocket for a key at left side', ""Comfortable, high-rise, 3-layer waistband won't budge as you hike"", 'Made using bluesign®-approved materials, which conserve resources and protect the health of the environment, workers and wearer (you!)', ""If you liked the women's REI Co-op Craglands tights, you'll love these Flash hybrid tights""]"
REI Co-op Sahara T-Shirt - Women's,REI Co-op,$20.93,"A true hiking staple, the women's REI Co-op Sahara T-shirt wicks sweat, dries quickly, stretches and shades you with solid UPF 30 sun protection.",4.5,https://www.rei.com/media/3da1b663-e7cf-414c-869f-61d544883edb?size=576x768,"['Quick-drying polyester/spandex fabric offers soft, comfortable stretch', 'Antimicrobial treatment inhibits growth of odor-causing bacteria', 'Shoulder seams rolled forward to avoid chafing under pack straps', 'UPF 30 sun protection']"
Smartwool Classic Hike Full Cushion Crew Socks - Men's,Smartwool,$22.00,"With ZQ-certified merino wool to keep things soft and recycled nylon to help reduce your environmental footprint, the men's Smartwool Classic Hike Full Cushion crew socks bring the cozy on every hike.",4.7,https://www.rei.com/media/f324eda1-1333-4028-a76f-60f0b205cd84?size=784x588,"['Full cushioning on the entire sock adds warmth and protection so you can go farther on every hike', 'Merino wool content is ZQ certified to ensure environmental, social and economic sustainability while safeguarding animal welfare', 'Features the same classic Smartwool construction, but now with recycled nylon content', 'Elasticized arch brace for a secure fit', 'Flat-knit toe seam for additional comfort']"
REI Co-op Flash Insulated Hoodie - Women's,REI Co-op,$62.83,"With ShadowBaffle™ construction that's warmer than standard quilting, the women's REI Co-op Flash insulated hoodie is amazingly warm for its weight—and made with 70% recycled insulation.",4.6,https://www.rei.com/media/95bce1a8-4f47-4b4d-afe1-939ad1c91a8e?size=576x768,"['Lightweight, windproof, bluesign®-approved, recycled ripstop nylon shell and lining fabric has a DWR (durable water repellent) finish to protect against light rain and stains', '60 g PrimaLoft® Silver Eco synthetic insulation is 70% postconsumer recycled content, bluesign® approved and highly breathable, compressible and warm even when wet', 'REI-exclusive ShadowBaffle construction is lab-measured to be at least 14% warmer than stitching through all layers like a standard quilt-through and is also more durable', 'Highly compressible jacket packs down small into its left hand pocket', ""Pack-friendly zippered hand pockets fit with a pack's hipbelt"", 'Additional zippered chest pocket and internal drop-in pocket give you storage options for trail essentials', 'Zipper placket and cuffs are constructed to be easily repairable to ensure a long life for this jacket', 'Drawcord at hem and stretch binding at hood and cuff help conform to your body and keep out cold drafts', 'Field tested while hiking, backpacking, skiing, running, cycling and sailing in 20–60-degree temps in Washington, Canada, Australia, New Zealand and Argentina', 'Made in a Fair Trade Certified™ factory, which promotes safe working conditions and sustainable livelihoods']"
Athleta Trekkie North Shorts - Women's,Athleta,$40.93,"Add a bit of flair to your hiking kit with the women's Athleta Trekkie North shorts. They're made to fight sweat, snags and UV rays—and they have 4 pockets for stashing your essentials.",4.7,https://www.rei.com/media/6df3adc2-0c63-49ec-8fba-71c9edfcd7b1?size=576x768,"[""Fabric wicks sweat, dries fast and breathes easily; it's also abrasion-resistant"", 'UPF 50+ fabric shields you from harmful UV rays', '2-way stretch offers extra mobility', '4 pockets keep items accessible', 'Semifitted; shorts skim easily over the body', 'Machine wash and dry']"
