title,brand,price,description,rating,image,feature
Merrell Moab 2 Mid Ventilator Hiking Boots - Men's,Merrell,$83.93,"Moab stands for Mother-Of-All-Boots. Experience out-of-the-box comfort in the ventilated Merrell Moab 2 Ventilator Mid men's hikers with their durable leather, supportive footbeds and Vibram traction.",4.6,https://www.rei.com/media/d4512d61-d665-4aa7-bddb-613756e0e7f9?size=784x588,"['Performance suede leather and mesh uppers have protective rubber toe caps; breathable mesh lining', 'Bellowed, closed-cell foam tongues keep moisture and debris out', 'Merrell M Select Fit.Eco+ blended-EVA, contoured footbeds with zonal arch and heel support', 'Merrell air cushion in the heels absorbs shock and adds stability', 'EVA midsoles for stability and comfort', 'Molded nylon arch shank adds stability', 'Vibram TC5+ outsoles have a 5mm lug depth for grip']"
Salomon X Ultra 3 Mid GTX Hiking Boots - Women's,Salomon,$122.93,"Salomon X Ultra 3 Mid GTX womens hiking boots bring running-shoe comfort to technical hikes. Design updates make them especially suited for tackling tough descents, even in wet conditions.",4.2,https://www.rei.com/media/088ad8d6-7dc2-496d-a446-682713c48da0?size=784x588,"['Polyurethane-coated leather uppers with GORE-TEX® waterproof/breathable liners are ready to take on wet weather and muddy trails', ""Contoured to fit women's feet, abrasion-resistant linings provide great breathability and quick drying"", 'Precise and secure fit cradles the feet', 'Mid-cut profile adds ankle support and protection for all-day comfort on the trail', 'Gussets create a continuous connection between the tongues and uppers, sealing out debris and providing a smooth transition across the instep area for all-day comfort', 'Mud guards and integrated rubber toe caps provide durable protection from roots and rocks', 'Maximized stability and motion control deliver an efficient, responsive ride without excess weight', 'Injected EVA midsoles provide cushioning and anatomically designed support', 'OrthoLite® sockliners combine a specific OrthoLite foam and contoured EVA heel cups to enhance heel support and cushioning', 'Contagrip® rubber outsoles provide dependable traction']"
La Sportiva Nucleo High II GTX Hiking Boots - Men's,La Sportiva,$229.00,"Lightweight and super-comfortable, La Sportiva Nucleo High II GTX boots with GORE-TEX® SURROUND™ tech combine durability, breathability and waterproof protection to keep you trekking all day long.",4.1,https://www.rei.com/media/abfd0fb9-5e89-47e0-a607-7ae8f4103240?size=784x588,"['Durable nubuck leather uppers provide protection while the integrated Nano-Cell™ technology delivers maximum breathability to keep your feet cool', 'Nano-Cell™ technology works with the GORE-TEX SURROUND waterproof membranes to enable unprecedented breathability underfoot', 'Compression-molded midsoles provide superior cushion and support and a noticeable bounce in every stride, for all-day comfort', 'Vibram® Nano outsoles with Impact Brake System™ provide maximum traction and grip on trails', 'Available in Regular and Wide sizes to accommodate a broader variety of foot sizes and shapes']"
REI Co-op Flash Hiking Boots - Men's,REI Co-op,$150.00,"Fly over trails in the waterproof, breathable men's REI Co-op Flash hiking boots. REI-exclusive technologies create fast-and-light boots—with a lighter footprint—that are comfy right out of the box.",4.0,https://www.rei.com/media/4dbe88ce-6809-42a5-8b33-3343adfa1233?size=784x588,"['Strong and socklike FirmaKnit™ uppers are made from 99% recycled PET polyester and are designed for lightweight yet durable comfort right out of the box', ""HydroWall™ complete waterproof/breathable protection keeps your feet dry when the trail ahead isn't—and uses 75% recycled polyester to do so"", '20% recycled rubber TerraGrip™ tread provides anti-slip grip on all kinds of terrain with 4 mm forefoot climbing lugs for going up and 4 mm heel braking lugs for coming down', 'TerraLoft™ midsoles use 10% algae-based BLOOM™ foam to cradle your feet with a cushioning system that feels like your favorite trail-running shoes (soft, but not too soft)', ""TrailBed™ insoles use Insite® Contoura® technology created with podiatrists to ensure support and comfort; plus, it's made with 25% USDA-certified bio-based Susterra® compound"", ""2-layer 30% recycled TPU overlays are designed to create durable and supportive uppers—the structure you need for long hours on the trail that's still light and minimalist"", 'Molded nylon midfoot shanks provide lightweight support to protect your feet from the trail and help propel you forward', 'Recycled PET polyester webbing and lacing creates a midfoot cradle system that allows for a highly adjustable and locked-down fit', 'Extra space in the toe boxes allows for natural changes in your feet (like swelling) during hours of trail exploration', 'Informed by feedback from over 6,000 people and field tested by 100 co-op members over 2,000 hours and 700+ miles']"
Merrell Moab 2 Mid Waterproof Hiking Boots - Women's,Merrell,$100.93,"Merrell Moab 2 Waterproof Mid hikers deliver out-of-the-box comfort with durable leather, supportive footbeds and Vibram® traction. Wear them and you'll know why Moab stands for Mother-Of-All-Boots.",4.6,https://www.rei.com/media/729e9393-a31d-4803-8319-afc2b96be454?size=784x588,"['Performance suede leather and mesh uppers have protective rubber toe caps', ""M Select Dry membranes seal out water and let moisture escape so you stay dry when you're on the move"", 'Bellowed, closed-cell foam tongues keep moisture and debris out', 'Merrell M Select Fit.Eco+ blended-EVA, contoured footbeds with zonal arch and heel support', 'Merrell Air Cushion in the heels absorbs shock and adds stability', 'EVA midsoles provide stability and comfort', 'Molded nylon arch shanks add stability', 'Vibram TC5+ outsoles have a 5mm lug depth for grip']"
Merrell Moab 2 Mid Waterproof Hiking Boots - Men's,Merrell,$100.93,"Merrell Moab 2 Mid waterproof hikers deliver out-of-the-box comfort with durable leather, supportive footbeds and Vibram® grip. You'll soon understand why Moab stands for Mother-Of-All-Boots.",4.2,https://www.rei.com/media/3c402fb4-f707-4819-baa5-318d85d01cbc?size=784x588,"['Performance suede leather and mesh uppers have protective rubber toe caps', ""M Select Dry membranes seal out water and let moisture escape so you stay dry when you're on the move"", 'Bellowed, closed-cell foam tongues keep moisture and debris out', 'Merrell M Select Fit.Eco+ blended-EVA, contoured footbeds with zonal arch and heel support', 'Merrell Air Cushion in the heels absorbs shock and adds stability', 'EVA midsoles provide stability and comfort', 'Molded nylon arch shanks add stability', 'Vibram TC5+ outsoles have a 5mm lug depth for grip']"
Merrell Moab 2 Waterproof Hiking Shoes - Women's,Merrell,$93.93,"Experience out-of-the-box comfort in Merrell Moab 2 waterproof hiking shoes. With durable leather, supportive footbeds and Vibram® traction, you'll understand why Moab stands for Mother-Of-All-Boots.",4.4,https://www.rei.com/media/07d0a99f-23ef-425c-8bd8-a8d3c1a0f5bc?size=784x588,"['Performance suede leather and mesh uppers have protective rubber toe caps', 'Waterproof breathable membranes protect your feet from the weather; breathable mesh linings', 'Bellowed, closed-cell foam tongues keep moisture and debris out', 'Merrell M Select Fit.Eco+ blended-EVA, contoured footbeds with zonal arch and heel support', 'Merrell Air Cushion in the heels absorbs shock and adds stability', 'EVA midsoles provide stability and comfort', 'Molded nylon arch shanks add stability', 'Vibram TC5+ outsoles have a 5mm lug depth for grip']"
Timberland Mt. Maddsen Mid Waterproof Hiking Boots - Men's,Timberland,$109.95,"Crafted of full-grain leather, the men's Mt. Maddsen Mid waterproof hiking boots offer rugged, trail-worthy performance and comfort for long miles in the wilderness.",4.5,https://www.rei.com/media/53a03193-14c6-4588-9010-e3111501c216?size=784x588,"['TimberDry™ waterproof membranes—made with 52% recycled polyester (PET)—help keep feet dry', 'Premium full-grain, waterproof leather is sourced from a Silver-rated tannery that follows strict environmental standards', 'Fully gusseted tongues provide comfort and keep debris out', 'Exclusive anti-fatigue comfort technology provides all-day comfort and support', 'Internal TPU shanks add torsional rigidity', 'Compression-molded EVA midsoles provide lightweight cushioning and shock absorption', 'Green Rubber outsoles are made from 42% recycled rubber; lugs offer excellent traction']"
Merrell Moab 2 Ventilator Hiking Shoes - Men's,Merrell,$76.93,"Merrell Moab 2 Ventilator hiking shoes offer ventilation, out-of-the-box comfort, durable leather, supportive footbeds and Vibram® traction. Wear them and see why Moab stands for Mother-Of-All-Boots.",4.5,https://www.rei.com/media/2d31ec91-cba9-4021-a5d1-92206156855b?size=784x588,"['Performance suede leather and mesh uppers have protective rubber toe caps; breathable mesh lining', 'Bellowed, closed-cell foam tongues keep moisture and debris out', 'Merrell M Select Fit.Eco+ blended-EVA, contoured footbeds with zonal arch and heel support', 'Merrell Air Cushion in the heels absorbs shock and adds stability', 'EVA midsoles provide stability and comfort', 'Molded nylon arch shanks add stability', 'Vibram TC5+ outsoles have a 5mm lug depth for grip']"
Salomon OUTline Mid GTX Hiking Boots - Men's,Salomon,$74.83,"Tackle new trails in the Salomon OUTline Mid GTX men's hiking boots. A GORE-TEX® liner, flexible feel and rugged traction keep you comfortable and protected for miles of backcountry adventures.",4.2,https://www.rei.com/media/8dcecf01-3ede-48a8-8487-06de3306588f?size=784x588,"['Over-the-ankle height provides added ankle protection and stability', 'Built using a running last with integrated features and great flexibility for a sleek, agile experience', 'GORE-TEX® waterproof liners keep your feet dry and comfortable regardless of the forecast', 'Protective toe caps guard against rocks, roots and other trail obstacles', 'Gusseted tongues keep debris out so you can focus on the trail', 'Midfoot shanks add stability while allowing feet to move unencumbered', 'Removable OrthoLite® footbeds add shock absorption; antimicrobial treatment inhibits growth of odor-causing bacteria on footwear', '5mm deep lugs with reverse chevron pattern help the nonmarking Contagrip® outsoles claw to any surface']"
