title,brand,price,description,rating,image,feature
Kelty Catena 30 Sleeping Bag,Kelty,$59.95,"Practical, affordable and just right for any casual or first-time camper, the Kelty Catena 30 sleeping bag meets all your basic camping needs with the warmth of cozy CloudLoft insulation.",4.4,https://www.rei.com/media/1de55285-793e-445b-9a55-9a77d72e10f8?size=784x588,"['Cozy CloudLoft synthetic insulation offers the warmth you need to rest comfortably through the night', 'Made with a durable yet lightweight 190-thread-count polyester taffeta shell; 50-denier 300-thread-count polyester liner offers a smooth, comfortable feel inside', 'Roomy rectangular shape—ideal for starfish sleepers—features an antisnag, anti-draft zipper to adjust your comfort levels inside', 'Can be fully unzipped for use as a blanket or zipped together with a second Catena (not included) for a double-wide snooze-athon', 'Includes a stuff sack for packing up quickly and easily before departing the campsite']"
REI Co-op Siesta Hooded 25 Sleeping Bag,REI Co-op,$129.00,"Stretch, turn and just sprawl out in the REI Co-op Siesta Hooded 25 sleeping bag. It has plenty of room and synthetic fill with offset quilting to keep you extra cozy on cool nights.",4.3,https://www.rei.com/media/5aaad892-e215-4351-8075-7cc4740ce739?size=784x588,"['Insulated hood adds warmth and helps retain a regular bed pillow; hood folds under when not needed', 'Polyester synthetic fill keeps you warm down to about 25°F; offset quilt construction prevents cold spots and stabilizes the insulation', '2-way main zip lets you open the bag fully for use as a quilt or unzip the bottom for ventilation', 'Short off-side zipper lets you fold down the top for a bed-like feel', 'Muffler and draft tube keep warmth in and drafts out', 'Drawstring cinches hood and muffler for added warmth and security', 'Interior stash pocket for storing small, quick-access items', 'Material strip adjacent to zipper minimizes zipper snagging', 'Recycled polyester shell is treated with a durable water repellent (DWR) finish to repel moisture and stains', 'Includes stuff sack']"
REI Co-op HunkerDown 20 Sleeping Bag,REI Co-op,$199.00,"Hit the down after a long day of fun in our most luxurious camp bag, the warm, roomy REI Co-op HunkerDown 20 sleeping bag. Its extra-large hood will even accommodate your favorite pillow from home.",4.8,https://www.rei.com/media/f3f1356a-658a-4971-8cc4-4b4148939973?size=784x588,"['600-fill-power RDS down provides lightweight warmth and compresses small', 'Oversize hood accommodates a home-size pillow; hood folds under when not needed', 'Draft collar ensures warm air stays in, cool air stays out', 'Wraparound zipper provides multiple ventilation options and allows you to open the bag completely for use as quilt', 'Interior stash pocket for storing small, quick-access items', 'Recycled polyester shell is treated with a durable water repellent (DWR) finish to repel moisture and stains', 'Includes a stuff sack', 'Made to reflect our love for people and the planet through the use of recycled materials, bluesign®-approved materials and down certified to RDS standards', 'The Responsible Down Standard (RDS) requires that ducks and geese are treated in accordance with leading animal welfare standards', 'bluesign®-approved materials conserve resources and protect the health of the environment, workers and end user (you!)', 'Using recycled materials keeps waste out of landfills']"
REI Co-op Trailbreak 20 Sleeping Bag - Men's,REI Co-op,$109.00,"The men's REI Co-op Trailbreak 20 sleeping bag gives the right balance of warmth, packability and weight for those breaking into backpacking and everything that comes with it.",4.4,https://www.rei.com/media/fa6ce25a-a8d1-480d-afcc-2f66a16237c4?size=784x588,"['Water-resistant synthetic fill keeps insulating in damp conditions', 'Comfortable mummy shape gives you freedom to move while you sleep', '3-panel hood contours closely to your head to keep out cold air', 'Face muffler and full draft tube keep out cold air', 'Differentiated drawcords (1 round, 1 flat) let you adjust the hood and neck easily in the dark', 'Offset quilt construction gives even coverage with no cold spots', 'Durable water repellent (DWR) finish on the polyester shell resists moisture and stains', 'Included stuff sack compresses for packing']"
NEMO Forte 35 Sleeping Bag - Women's,NEMO,$169.95,"Classic mummy-bag design isn't ideal for the 70% of people who sleep on their side. The women's NEMO Forte 35 sleeping bag adds room at the elbows and knees for 3-season, side-sleeping comfort.",4.7,https://www.rei.com/media/1da0889c-dd2c-485e-9907-73bcc443ed13?size=784x588,"['Updated with ultralight, ultra-compressible FeatherCore™ synthetic insulation technology to provide an excellent blend of warmth, moisture resistance, comfort and packability', 'Featuring 80% postconsumer recycled content, PrimaLoft® RISE insulation delivers maximum warmth with less weight and water retention than conventional synthetic insulation', 'PrimaLoft RISE insulation increases heat retention and compressibility that matches or beats 650-fill-power down—ideal for 3-season camping', 'Unique Spoon™ shaped bags offer more room at the elbows and knees, allowing side sleepers to shift positions comfortably throughout the night', 'Thermo Gills™ extend the temperature range on milder nights: Unzip them and let heat out without letting cold drafts in', 'Blanket Fold™ external draft collar and a full-length draft tube provide tucked-in comfort and temperature regulation', 'Waterproof/breathable footbox withstands tent condensation, keeping feet warm and dry', 'A fabric set of 30-denier ripstop polyester and 20-denier nylon taffeta offers an ultra-plush sleep experience', 'Durable water repellent (DWR) finish on both shell and lining fabric resists moisture', 'Full-length double-slider #5 YKK zipper with zipper plow makes getting in and out of the bag a breeze', 'Integrated pillow pocket allows a jacket, extra clothes, or Fillo™ (not included) to be stuffed into the sleeve opening for secure, elevated support through the night', ""Opposite-sided zippers on men's and women's sleeping bags increase versatility by allowing them to be zipped together into a double sleeping bag"", 'NEMO offers a lifetime warranty on this bag']"
Coleman Kompact 20 Rectangle Sleeping Bag,Coleman,$99.95,"With plenty of room to get comfortable and the option to unzip it into a blanket, the Coleman Kompact 20°F Rectangle sleeping bag keeps you warm through the night and compresses to a manageable size.",4.7,https://www.rei.com/media/dc532246-80d8-4438-b23e-995de4e0340d?size=784x588,"['Compressible Coletherm™ Max premium and lightweight fill provides heat retention with less weight in temperatures as low as 20°F', '20°F tested lower limit and 30°F tested comfort limit are certified to the ASTM standard', 'Comfort Cuff™ design provides soft protection and comfort around your face as you fall asleep', 'Thermolock™ draft tube prevents heat from escaping through the zipper', 'ZipPlow™ zipper allows snag-free opening and closing every time', ""Roll Control™ design keeps your sleeping bag straight while you're rolling it"", 'Quick Cord™ tying system ensures the bag stays securely rolled', 'Unrolled size (75 x 33 in.) fits sleepers up to 5 ft. 11 in.; compact size (9.8 x 9.8 x 15.7 in.) packs up smaller than traditional Coleman sleeping bags', 'Stuff sack with cinchable side straps tightens the sleeping bag into a compact size, making it easier to carry and store', 'Machine washable for easy cleaning', 'Coleman offers a 5-year limited warranty on this product']"
REI Co-op Down Time 25 Down Sleeping Bag - Kids',REI Co-op,$149.00,"Engineered to balance room to move with insulation efficiency, the kids' REI Co-op Down Time 25 sleeping bag keeps sleepers under 5'6"" cozy on cool-weather trips.",4.9,https://www.rei.com/media/0aa3d44c-ec80-4c01-860a-0284593256cc?size=784x588,"['The same features and lightweight warmth as the adults\' Down Time 25 bags, but for sleepers under 5\'6"" tall', 'Water-repellent 600-fill-power duck down insulation offers excellent loft and warmth—and is certified to the Responsible Down Standard (RDS) and bluesign® approved', 'Variated-width stitching equalizes amount of fill in each baffle', 'Recycled nylon shell has a durable water repellent (DWR) finish to protect the down from moisture', 'Relaxed fit from shoulders to hips gives you room to move in your sleep, but remains thermally efficient', 'Contoured hood pattern fits more naturally to head and accommodates most backpacking pillows', 'Trapezoidal footbox provides comfort while toe box baffle specifically positions down to ensure foot warmth', 'Synthetic insulation in footbox optimizes insulation should it become damp due to touching condensation on tent wall', 'Insulated draft collar and full-length draft tube hold in warmth', 'Differentiated drawcords let you adjust hood and neck easily in the dark', 'Zipper cover and internal antisnag strip combine for easy zipping', 'Hangloops allow bag to be hung up for quick drying and storage', 'Comes with nylon stuff sack and nylon mesh storage bag']"
NEMO Forte 35 Sleeping Bag - Men's,NEMO,$169.95,"Classic mummy-bag design isn't ideal for the 70% of people who sleep on their side. The men's NEMO Forte 35 sleeping bag adds room at the elbows and knees for 3-season, side-sleeping comfort.",4.7,https://www.rei.com/media/8c7d78ec-99c0-4c99-8be8-49c55cfdc3cf?size=784x588,"['Featuring 80% postconsumer recycled content, PrimaLoft® RISE insulation delivers maximum warmth with less weight and water retention than conventional synthetic insulation', 'PrimaLoft RISE insulation increases heat retention and compressibility that matches or beats 650-fill-power down—ideal for 3-season camping', 'Unique Spoon™ shaped bags offer more room at the elbows and knees, allowing side sleepers to shift positions comfortably throughout the night', 'Thermo Gills™ extend the temperature range on milder nights: Unzip them and let heat out without letting cold drafts in', 'Blanket Fold™ external draft collar and a full-length draft tube provide tucked-in comfort and temperature regulation', 'Waterproof/breathable footbox withstands tent condensation, keeping feet warm and dry', 'A fabric set of 30-denier ripstop polyester and 20-denier nylon taffeta offers an ultra-plush sleep experience', 'Durable water repellent (DWR) finish on both shell and lining fabric resists moisture', 'Full-length double-slider #5 YKK zipper with zipper plow makes getting in and out of the bag a breeze', 'Integrated pillow pocket allows a jacket, extra clothes, or Fillo™ (not included) to be stuffed into the sleeve opening for secure, elevated support through the night', ""Opposite-sided zippers on men's and women's sleeping bags increase versatility by allowing them to be zipped together into a double sleeping bag"", 'NEMO offers a lifetime warranty on this bag']"
REI Co-op Magma Trail Quilt 30,REI Co-op,$329.00,"A versatile sleeping bag alternative, the REI Co-op Magma Trail Quilt 30 dispenses with zipper, hood and bottom insulation to lighten your pack and still give you a comfortable night's sleep.",4.4,https://www.rei.com/media/879281f9-b762-43e7-bb33-ebf252e45c6b?size=784x588,"['Secured to your sleep pad (sold separately), the trail quilt offers the snug warmth of a mummy bag, but with great ability to adjust your warmth as needed', 'Water-resistant 850-fill-power goose down and a downproof Pertex® shell with durable water repellent (DWR) finish provide lasting coziness and a supersoft feel', 'Down is certified to the Responsible Down Standard (RDS) and bluesign® approved', 'Adjustable, insulated draft tube can be cinched around your neck to keep warm air in', 'Trapezoidal foot box keeps feet comfy and warm', 'Pad cords let you adjust fit and warmth and keep you centered on your sleep pad all night', 'Includes a stuff sack for packing and a roomy mesh sack for breathable storage']"
Kelty Cosmic 20 Sleeping Bag - Men's,Kelty,$159.95,"A 3-season superstar for nights when temps dip to subfreezing, the men's Kelty Cosmic 20 sleeping bag's thermally efficient trapezoidal baffle construction and 550-fill-power down keep you warm.",4.6,https://www.rei.com/media/d273cf87-2eca-493f-80dd-7b764471eabf?size=784x588,"['Trapezoidal baffle construction promotes heat retention and thermal efficiency; 550-fill-power down insulation is warm and quick-drying', '20-denier nylon taffeta outer shell is durable, yet buttery soft; 50-denier polyester taffeta lining is ultrasmooth on your skin', 'C0 and PFC-free durable water repellent (DWR) coating helps repel moisture to keep you warm and dry inside', 'Internal zippered stash pocket provides a convenient place to stash your headlamp, phone or other camping needs', ""Dual-sliding, locking antisnag zipper makes it easy to get in and out and won't get stuck when you make ventilation adjustments"", 'Draft collar and hood help keep the hot air in and cold air out', 'Spacious, natural-fit foot box allows more wiggle room for your toes', 'Includes stuff sack']"
REI Co-op Trailbreak 30 Sleeping Bag - Men's,REI Co-op,$99.95,"For those breaking into backpacking and everything that comes with it, the men's REI Co-op Trailbreak 30 sleeping bag gives the right balance of warmth, packability and weight.",4.0,https://www.rei.com/media/cc6cd38d-23f6-464d-9107-fc3c9b7dbd2b?size=784x588,"['Water-resistant synthetic fill keeps insulating in damp conditions', 'Comfortable mummy shape gives you freedom to move while you sleep', '3-panel hood contours closely to your head to keep out cold air', 'Face muffler and full draft tube keep out cold air', 'Differentiated drawcords (1 round, 1 flat) let you adjust the hood and neck easily in the dark', 'Offset quilt construction gives even coverage with no cold spots', 'Durable water repellent (DWR) finish on the polyester shell resists moisture and stains', 'Included stuff sack compresses for packing']"
