title,brand,price,description,rating,image,feature
REI Co-op Groundbreaker 2 Tent,REI Co-op,$89.95,"Whether it's your 1st time or your 50th, the 2-person, 3-season REI Co-op Groundbreaker 2 Tent is a no-frills way to get into camping. It's easy to pitch, durable and has ample ventilation.",3.9,https://www.rei.com/media/4d10e9dd-0ca5-467b-a38e-b5596252076e?size=784x588,"['Simple, freestanding dome architecture with equal length poles and pole clips is easy to set up and familiar to campers', 'Large D-shaped door makes it easy to come and go', 'Small awning on the fly protects the door from rain', 'Back wall has a zip-open screen windows for views and ventilation', 'Mesh roof panels provide ventilation and sky views', 'Integrated door vent reduces weight and bulk', 'Oblique ridge pole improves entry and exit by positioning the peak at the sweet spot of the door', 'Internal mesh pockets and gear loops help organize essentials and keep them close', 'Strong fiberglass poles', 'Includes rainfly, stuff sack, 4 stakes and 2 guylines with tighteners', 'Footprint not included']"
REI Co-op Passage 2 Tent with Footprint,REI Co-op,$110.93,"A simple design for 2 people (or 1 and lots of gear), the REI Co-op Passage 2 tent is your 3-season cocoon, featuring ample interior space, 2 doors and 2 vestibules with plenty of room under the fly.",4.3,https://www.rei.com/media/950f474c-137a-4ab1-9bbb-e33bff1e8e94?size=784x588,"['X-pole configuration makes it easy to set up and increases the vertical space at the ends of the tent', '2 twin stake-out vestibules provide large covered areas for gear storage, hanging out and more', 'Adjustable ceiling vents help reduce condensation by moving moist air outside', 'Fly doors roll up over the roof for a clear view of the sky, improved venting and reduced condensation', 'Symmetrical, rectangular floor provides an efficient, comfortable layout', 'Internal pockets and gear loops help organize your essentials', 'Made with solution-dyed mesh to reduce water and energy use in manufacturing', 'Includes footprint, stuff sack, stakes and guylines with tighteners']"
REI Co-op Backpacking Bundle,REI Co-op,$243.93,"So your friends want to go backpacking ... this weekend. Take the guesswork out of gear shopping with these 3 customer faves—tent, sleeping bag and pad—together in the REI Co-op Backpacking Bundle.",4.4,https://www.rei.com/media/7ba4cfc8-a91d-40e7-b236-a998a23242a2?size=784x588,"['Includes REI Co-op Passage 2 tent with footprint, REI Co-op Stratus Insulated Air sleeping pad (regular or long) and REI Co-op Trailbreak 30 sleeping bag (regular or long)', 'The Passage 2 tent is a lightweight, 3-season tent for 2 that sets up easily and features 2 doors, each with its own vestibule, for easy access and ample storage space', 'Tent has a water-resistant floor, interior mesh storage pockets for organization, and durable aluminum poles and plastic clips that make for quick setup', 'Tent comes with a rainfly, footprint, stuff sack, pole and stake bags, stakes and guylines with tighteners', ""Stratus Insulated Air sleeping pad offers supreme warmth, comfort and durability for a good night's sleep after a long day on the trail"", 'The Stratus Insulated Air sleeping pad has an R-value of 2.9, which makes it best for adventures in cool weather; it provides moderate insulation from ground temperature', 'Most sleeping pads we sell range from 1.0 (good for warm weather) to 5.5+ (for use in extreme cold); the higher the R-value, the more insulated the pad', 'Trailbreak 30 sleeping bag has a relaxed mummy shape, which offers plenty of room to stretch, turn and snuggle in for the night', 'Polyester synthetic fill in the Trailbreak 30 keeps you warm down to about 30°F; offset quilt construction prevents cold spots and stabilizes the insulation', 'Tent weighs 5 lbs. 10 oz. packaged; regular bag: 2 lbs. 8 oz; long bag: 2 lbs. 10 oz.; regular pad: 1 lb. 5 oz.; long pad: 1 lb. 7 oz.', 'Individual packaged sizes: tent: 18 x 8 in.; bag: 7 x 12 in.; pad: 5.25 x 7 in.', 'R-value tested according to the ASTM F3340 standard']"
REI Co-op Wonderland 4 Tent,REI Co-op,$499.00,"Spread out and kick back! The REI Co-op Wonderland 4 tent pitches into a cozy, 3-season basecamp with large doors, 360° views and stable architecture to handle stormy weather.",4.8,https://www.rei.com/media/e5f3820f-7a79-42e9-b4b3-c7849f0f2de8?size=784x588,"['Near-vertical walls and rectangular floor plan maximize livable space', 'Freestanding 4-person design features a triangulated center pole and an extended ridge pole for stability in windy conditions', 'Strategic color coding on tent, fly, footprint and poles simplifies setup', 'Seam-sealed, cut-in floor', 'End awnings provide covered entry and add stability; roll awnings back for more light on sunny days', '2 huge doors with weather protective awnings for easy, drip-free access, views and ventilation', 'Scalloped fly and awnings combine with big doors and windows provide 360° views, even with fly on', 'Scalloped fly plus low side vents and upper end and door vents create low-high chimney venting for climate control and condensation mitigation', 'Bugproof mesh paneling walls, windows and doors offer great ventilation and views', 'Multiple interior storage options', 'Includes main stuff sack with shoulder strap and handle, plus separate organizer stuff sacks for poles and stakes', 'Comes with 18 stakes, 8 pre-attached reflective guylines with cleat-lock tighteners and a pole repair sleeve', 'Solution-dyed mesh reduces the environmental impact of the tent', 'Footprint not included']"
Rightline Gear SUV Tent,Rightline Gear,$169.93,"Attaching to the back of any SUV, minivan, wagon or pickup truck with a cap, the Rightline SUV Tent provides room for 6, with 2 in the cargo area and 4 in the fully waterproof tent.",3.1,https://www.rei.com/media/43d4f006-ecae-414a-a4c6-e05d6e59d8f8?size=784x588,"['Freestanding tent design sets up quickly and can also be detached from the vehicle and left behind at the campsite during day trips', '2,000 mm water-resistant polyurethane fabric with tape sealed seams keeps the elements and condensation from getting inside', 'Polyethylene bathtub floor keeps moisture from getting inside, requiring no additional ground tarp or footprint', 'Vehicle sleeve attaches to any size SUV, minivan, wagon or pickup truck with cap', 'Heavy-duty straps and nylon buckles attach to the vehicle without damaging the finish', 'Color-coded poles allow for a quick and easy setup', 'Includes tent, rainfly and stuff sack with sewn-in setup guide']"
Kelty Discovery 2-Person Camp Bundle,Kelty,$199.93,"Helping you and a friend get to your outdoor fun faster, the Kelty Discovery 2-person camp bundle includes a 4-person tent with waterproof fly, 2 cozy sleeping bags and 2 self-inflating sleeping pads.",3.9,https://www.rei.com/media/ff025874-d42c-4fc1-bcce-0f09644338ea?size=784x588,"['Roomy 4-person tent features no-see-um mesh walls for superior ventilation and allows plenty of space for lounging, gear or a canine companion', 'Waterproof rainfly and taped seams help you stay snug and dry inside the tent', 'Stakes and pre-attached guylines make it easy to set up virtually anywhere', 'Two 3-season sleeping bags feature draft tubes with antisnag zipper construction for easy in and out', 'CloudLoft™ insulation in sleeping bags adds high-loft warmth', 'Zip the 2 bags together for an instant conversion to a double-wide bed for 2 people', 'Self-inflating pads come with easy-to-use plastic inflate/deflate valves', 'Pads provide cushioning and warmth to keep you cozy and off the cold ground', 'Tent packaged weight 8 lbs. 8 oz., minimum trail weight: 7 lbs. 8 oz. ; sleeping bags (each): 3 lbs. 1 oz.; sleeping pads (each): 2 lbs. 15.5 oz.', 'Individual packaged sizes: tent: 23 x 6 x 6 in.; sleeping bags (each): 10 x 12 in.; sleeping pads (each): 5. 5 x 21 in.']"
REI Co-op Skyward 4 Tent,REI Co-op,$349.00,"If you'd like less ducking and crawling and more standing and stretching in your camp life, the REI Co-op Skyward 4 tent is going to make you very happy—and your campground neighbors very jealous.",4.1,https://www.rei.com/media/2c319731-79e1-4264-8865-5fb2e2a07f35?size=784x588,"['Near-vertical walls and a rectangular floor plan maximize livable space—you can change clothes standing up straight!', 'Stable, sturdy, freestanding design separates roof assembly from leg poles, making setup easier', 'Large, D-shaped door has a low sill to make getting in and out easy', 'Awning over door creates dry, drip-free entry, even with vestibule door open', 'Large bug-proof mesh ceiling panels enhance ventilation and provide sky views during nice weather', 'Waterproof, cap-style fly covers mesh ceiling panels, providing protection from the rain while still allowing excellent ventilation', 'Twin-stake vestibule offers additional livable space as well as protected gear storage', 'Multiple pockets, high and low, for convenient storage, plus gear loops for attaching lights', 'Includes heavy-duty carry bag, separate stuff sacks for poles and stakes, 10 stakes, 4 reflective guy lines with tighteners, and a pole-repair sleeve', 'Made using solution-dyed mesh to reduce water and energy use in manufacturing', 'Footprint sold separately']"
REI Co-op Trail Hut 2 Tent with Footprint,REI Co-op,$199.00,"Your home on the trail, the 3-season REI Co-op Trail Hut 2 is a dome-shaped happy medium between comfort and cost with easy setup, some storage and a little extra room thanks to the ridge pole.",4.5,https://www.rei.com/media/56b03fff-1b1b-4bba-bb46-63429f9576d6?size=784x588,"['Freestanding dome architecture with equal-length poles and pole clips is easy to set up and familiar to experienced campers', 'Ridge pole supports door walls for increased living space', '2 large ""D"" doors provide easy entry and exit for 2 people', '2 large vestibules store gear out of the elements', 'Fly doors roll up over the roof for a clear sky view, plus improved venting and reduced condensation', 'Integrated door venting reduces weight and bulk', 'Fly doors can pitch out to create an awning cover', 'Internal pockets and gear loops for organizing essentials', 'Made with solution-dyed mesh to reduce water and energy use in manufacturing', 'Includes rainfly, footprint, stuff sack, stakes and guylines with tighteners']"
Mountain Summit Gear Campside 3-Person Dome Tent,Mountain Summit Gear,$119.95,Set up for a weekend with a couple friends in the Mountain Summit Gear Campside 3-Person Dome tent. It sets up quickly and includes plenty of storage for everyone.,4.3,https://www.rei.com/media/62feb694-6802-4e98-a79c-42bd3a94bc7a?size=784x588,"['Durable polyester tent body with a waterproof coating features No-See-Um mesh to keep bugs out', '2-pole design uses quick clips for easy setup', 'Full back rain fly with front awning', 'Tub style floor', 'Interior storage pockets and power port']"
Coleman Skydome Darkroom 4-Person Tent,Coleman,$149.95,"With a quick setup that takes less than 5 min. and Dark Room™ technology that blocks 90% of sunlight, the Coleman Dark Room Skydome 4-person tent lets you get right to relaxing anytime of day.",4.2,https://www.rei.com/media/1d4de063-1422-4139-a327-d8817cc38d4c?size=784x588,"['Dark Room technology blocks 90% of sunlight and reduces heat inside the tent so you can sleep in past sunrise or enjoy an afternoon nap', 'Pre-attached poles make for a simple, fast setup—you can pitch this tent in under 5 min.', 'Downpour in the forecast? WeatherTec™ system with welded corners, inverted seams and taped seams helps keep you and your gear dry', 'Nearly vertical walls offer 20% more headroom than a traditional Coleman dome tent', 'Strong frame is tested to withstand winds up to 35 mph', 'Wide door design means you can move airbeds, sleeping bags and other gear in and out with ease', 'Mesh storage pockets and a gear loft keep small items organized', 'Tent is sized to fit 1 queen-size air mattress (not included)', 'Carry bag included for easy storage']"
