title,brand,price,description,rating,image,feature
Reliance Aqua-Tainer - 7 gal.,Reliance,$19.95,Carry and dispense water conveniently in this handy Reliance Aqua-Tainer 7 gal. storage container.,3.8,https://www.rei.com/media/010a5b25-2690-413c-8652-7f84122700c5?size=784x588,"['Container is made of rugged, rigid polyethylene', 'Spigot cap is reversible for safe storage and transport', 'Spigot is easy to use with on/off switch for intermittent use', 'Special contour grip makes the container easy to transport', 'Liquid level indicator keeps you aware of how much water you have left', 'Includes a screw-on vent cap', 'Containers can be stacked when empty for convenient storage', 'Reliance Aqua-Tainer containers are good for home emergency preparedness']"
Scepter Water Container - 20 Liters/5 gal.,Scepter,$69.95,"Carry along all of the fresh, clean water you'll need for a multiday paddling trip or a weekend at the campsite with the lightweight yet durable 20-liter Scepter water container.",4.8,https://www.rei.com/media/da7bcaf9-fa11-41b2-9680-64c3f79138ea?size=784x588,"['Small spout makes it easy to fill water bottles; breather hole with its own cap provides great airflow for easy pouring', 'Features a single carrying handle and a screw-top cap that locks securely in the closed position', 'Food-grade, low-density polyethylene (LDPE) and high-density polyethylene (HDPE) construction is BPA-free and will not add taste, odor or any chemicals to the water', 'Seamless, all-plastic construction is tough, lightweight, permanently colored and will never rust', 'Built to military specifications, this container offers years of durability']"
REI Co-op Nalgene Sustain Graphic Wide-Mouth Water Bottle - 32 fl. oz.,REI Co-op,$14.95,"Keep your fluid levels up when you play outside—and help keep plastic out of landfills—with the 32 fl. oz. REI Co-op Nalgene Sustain graphic wide-mouth water bottle, made of 50% recycled material.",4.9,https://www.rei.com/media/6468c4d5-c6e1-482d-8830-186132b59343?size=784x588,"['Tritan Renew™ is crafted from next-generation recycled resin that transforms plastic destined for landfills into high-performance, BPA-, BPS- and phthalate-free bottles', 'Completely leakproof with continuous, straight-shouldered, semibuttressed threads that keep the bottle sealed tight', 'Easy-to-clean, dishwasher-safe Tritan Renew copolyester material is free of BPA, BPS and phthalates', 'Wide-mouth design fits most filtration devices (not included) and is easy to fill with ice cubes', 'Built to last, guaranteed for life by Nalgene']"
Sawyer Squeeze Water Filter System,Sawyer,$38.95,"The Sawyer Squeeze Water Filter has a field weight of only 3 oz., and it makes filtering water as simple as filling a pouch and squeezing water into your mouth. No pills, no pumps and no wait time.",4.2,https://www.rei.com/media/a2513314-d314-4f22-85dc-759efab04651?size=784x588,"['Updated from the original version, the Squeeze Filter includes 2 32 fl. oz. pouches, a cleaning coupling and additional accessories for gravity and inline use', 'Hollow-fiber membrane filter removes 99.99999% of all bacteria, such as salmonella, cholera and E.coli; removes 99.9999% of all protozoa, such as giardia and cryptosporidia', 'Collapsible pouches are made from durable Mylar foil and can be reused hundreds of times', 'Simply fill up the included water pouches at a lake or stream, screw the hollow-fiber filter onto the pouch and squeeze the pouch to push the water through the filter', 'Filter has a built-in flip-top cap so you can spray water straight into your mouth or use it to fill a water bottle; squeeze filter fills most water bottles in only 30 sec.', 'Includes the Inline Adapters so you can use your squeeze filter inline on a hydration pack', 'Includes gravity tubing which allows you to hook up the Squeeze Filter as a gravity filter', 'Also comes with a syringe to back-flush the filter to maintain a high flow rate', 'Filter fits the threads on most bottles of water that you buy at a grocery store', 'Includes a mesh carrying case', 'Avoid freezing this filter; freezing may ruin the hollow-fiber membrane']"
GSI Outdoors Folding Water Cube - 5.3 gal.,GSI Outdoors,$12.00,The GSI Outdoors Folding Water Cube holds 5.3 gal. (20 liters) of water and features an ergonomic tap handle that delivers a high flow rate for filling water bottles and washing dishes.,3.4,https://www.rei.com/media/d6faa225-69f7-4c57-a58a-d2ffdd9cc357?size=784x588,"['Foldable, food-grade polyethylene container has integrated handle for easy lifting and pouring', 'Made with a proprietary blow-molding method for superior burst strength and added durability', 'Holds 5.3 gal. (20 liters)']"
REI Co-op Nalgene Sustain Graphic Narrow-Mouth Water Bottle - 32 fl. oz.,REI Co-op,$15.95,"Now made of 50% recycled plastic, the 32 fl. oz. REI Co-op Nalgene Sustain™ graphic narrow-mouth water bottle is great for staying hydrated on the trail—and pouring drinks and prepping meals in camp.",4.8,https://www.rei.com/media/98f12c81-5a79-4940-90c9-7a0264d0b317?size=784x588,"['Tritan Renew™ is crafted from next-generation recycled resin that transforms plastic destined for landfills into high-performance, BPA-, BPS- and phthalate-free bottles', 'Completely leakproof with continuous, straight-shouldered, semibuttressed threads that keep the bottle sealed tight', 'Easy-to-clean, dishwasher-safe Tritan Renew copolyester material is free of BPA, BPS and phthalates', 'Wide-mouth design fits most filtration devices (not included) and is easy to fill with ice cubes', 'Built to last, guaranteed for life by Nalgene']"
Grayl GeoPress Water Filter and Purifier Bottle - 24 fl. oz.,Grayl,$99.95,"A global traveler's dream with fast, easy performance, the Grayl Geopress water filter and purifier bottle helps protect you from viruses, protozoa, bacteria, particulates, chemicals and heavy metals.",4.8,https://www.rei.com/media/ed6dcdae-cadc-4fa6-a6b0-688987fdee39?size=784x588,"['Award-winning OnePress™ global protection is effective for use on all 7 continents so you can save money, travel sustainably and never buy single-use bottled water again', 'Removes viruses (e.g., hepatitis A, norovirus, rotavirus), bacteria (e.g., E. coli, salmonella, shigella) and protozoan cysts (e.g., amoebae, cryptosporidia, giardia)', 'Simply fill, press and drink—fill from any freshwater source, press on the ground or other firm surface and drink purified water', 'Activated carbon effectively adsorbs chemicals, pesticides, heavy metals, flavors and odors; filter removes microplastics and other particulates', '3-function SimpleVent™ drink cap allows 1-handed hydration through the fast-flow drink spout, vents air while purifying and blocks cross-contamination, grime and dirt', 'Softpress™ ergonomic comfort pads and tactile TopoGrip™ TPE on all heavy-use surfaces allow nonslip, anti-fatigue pressing', 'With virtually no setup time: Geopress purifies and filters 24 fl. oz. of water in 8 sec. (5L per min.)', ""Replaceable cartridge is rated for 350 cycles (65 gal./250L); as press time reaches 25 sec. (or 3 years have elapsed since first use) it's time to replace the cartridge"", 'Built tough to perform in harsh conditions and withstand drops up to 10 ft. onto concrete, even when full of water', 'Independently tested by a certified laboratory to meet or exceed NSF/ANSI protocols 42 and 53 for sediment, pathogen and chemical removal', 'Also meets the EPA Guide Standard and Protocol for testing microbiological water purifiers']"
REI Co-op Nalgene Sustain Graphic Wide-Mouth Water Bottle - 48 fl. oz.,REI Co-op,$18.95,"Camp cooking is easier when you've got lots of water, and the 48 fl. oz. REI Co-op Nalgene Sustain™ wide-mouth water bottle holds plenty. Made of 50% recycled plastic to keep plastic out of landfills.",4.6,https://www.rei.com/media/20580b95-7eee-4f81-9448-17c0bffd1be0?size=784x588,"['Tritan Renew™ is crafted from next-generation recycled resin that transforms plastic destined for landfills into high-performance, BPA-, BPS- and phthalate-free bottles', 'Completely leakproof with continuous, straight-shouldered, semibuttressed threads that keep the bottle sealed tight', 'Easy-to-clean, dishwasher-safe Tritan Renew copolyester material is free of BPA, BPS and phthalates', 'Wide-mouth design fits most filtration devices (not included) and is easy to fill with ice cubes', 'Built to last, guaranteed for life by Nalgene']"
Katadyn Micropur Purification Tablets - Package of 30,Katadyn,$15.95,"Purifying water couldn't be easier. Simply drop a Katadyn Micropur tablet into a liter of water and let it sit for 4 hours, then drink with confidence—and no chemical aftertaste.",4.5,https://www.rei.com/media/d2814b18-e0c7-4cc6-becb-2ad0c8558c16?size=784x588,"['Micropur tablets are effective against microorganisms, bacteria, protozoa (such as giardia and cryptosporidia), cysts and viruses', 'Use 1 tablet per liter of water and allow to sit for 4 hrs. for maximum efficacy', 'Meets the US Environmental Protection Agency purification guidelines; active ingredient is chlorine dioxide', 'Each tablet is individually wrapped and sealed', 'Shelf life: 5 yrs. from date of manufacture']"
REI Co-op Nalgene Sustain Graphic Wide-Mouth Water Bottle - 32 fl. oz.,REI Co-op,$15.95,Keep yourself hydrated and help keep plastic out of landfills with the 32 fl. oz. REI Co-op Nalgene Sustain™ graphic wide-mouth water bottle—it's now made with 50% recycled plastic.,4.8,https://www.rei.com/media/736851ec-8dbe-40df-b9bf-0815fabd3ba0?size=784x588,"['Tritan Renew™ is crafted from next-generation recycled resin that transforms plastic destined for landfills into high-performance, BPA-, BPS- and phthalate-free bottles', 'Completely leakproof with continuous, straight-shouldered, semibuttressed threads that keep the bottle sealed tight', 'Easy-to-clean, dishwasher-safe Tritan Renew copolyester material is free of BPA, BPS and phthalates', 'Wide-mouth design fits most filtration devices (not included) and is easy to fill with ice cubes', 'Built to last, guaranteed for life by Nalgene']"
